ID,prompt,keyword,target_prompt
1,"On the dusty shelf, an old cassette player",Cassette Player,"On the dusty shelf, an object"
2,"Resting on a wooden desk in the study, a cassette player",Cassette Player,"Resting on a wooden desk in the study, an object"
3,"Sitting next to a stack of vinyl records, a vintage cassette player",Cassette Player,"Sitting next to a stack of vinyl records, an object"
4,"Placed beside an old radio in the living room, a cassette player",Cassette Player,"Placed beside an old radio in the living room, an object"
5,"Lying on the floor near a beanbag chair, a retro cassette player",Cassette Player,"Lying on the floor near a beanbag chair, an object"
6,"Next to a pile of mixtapes on the table, a cassette player",Cassette Player,"Next to a pile of mixtapes on the table, an object"
7,"On the nightstand with headphones attached, a small cassette player",Cassette Player,"On the nightstand with headphones attached, an object"
8,"On a classroom desk during a lecture, a cassette player",Cassette Player,"On a classroom desk during a lecture, an object"
9,"Inside a teenager's messy bedroom, a worn cassette player",Cassette Player,"Inside a teenager's messy bedroom, an object"
10,"On the car dashboard playing music, a cassette player",Cassette Player,"On the car dashboard playing music, an object"
11,"On the park bench with a backpack nearby, a cassette player",Cassette Player,"On the park bench with a backpack nearby, an object"
12,"Sitting on the windowsill in the sun, a cassette player",Cassette Player,"Sitting on the windowsill in the sun, an object"
13,"On the office shelf beside old books, a cassette player",Cassette Player,"On the office shelf beside old books, an object"
14,"Resting on a picnic blanket in the park, a cassette player",Cassette Player,"Resting on a picnic blanket in the park, an object"
15,"On the counter at a thrift store, a cassette player",Cassette Player,"On the counter at a thrift store, an object"
16,"On the stage floor during band practice, a cassette player",Cassette Player,"On the stage floor during band practice, an object"
17,"Sitting next to a retro television set, a cassette player",Cassette Player,"Sitting next to a retro television set, an object"
18,"Resting on the teacher’s desk in school, a cassette player",Cassette Player,"Resting on the teacher’s desk in school, an object"
19,"On the ground next to a skateboard, a cassette player",Cassette Player,"On the ground next to a skateboard, an object"
20,"Placed beside candles in a dimly lit room, a cassette player",Cassette Player,"Placed beside candles in a dimly lit room, an object"
21,"Standing quietly in the countryside, an old church",Church,"Standing quietly in the countryside, an object"
22,"With stained glass windows glowing at sunset, a church",Church,"With stained glass windows glowing at sunset, an object"
23,"Surrounded by tall oak trees in the village, a church",Church,"Surrounded by tall oak trees in the village, an object"
24,"At the top of the hill overlooking the valley, a white church",Church,"At the top of the hill overlooking the valley, an object"
25,"Rising above the rooftops, a bell tower church ",Church,"Rising above the rooftops, an object"
26,"Next to a river crossing, a small stone church",Church,"Next to a river crossing, an object"
27,"In the snowy mountains, a wooden church",Church,"In the snowy mountains, an object"
28,"With an open door inviting people inside, a church",Church,"With an open door inviting people inside, an object"
29,"Covered in ivy and moss, a ruined church",Church,"Covered in ivy and moss, an object"
30,"At the town square during a festival, a church",Church,"At the town square during a festival, an object"
31,"Beside a graveyard under the moonlight, a church",Church,"Beside a graveyard under the moonlight, an object"
32,"With red roof tiles glowing under morning sun, a church",Church,"With red roof tiles glowing under morning sun, an object"
33,"Hidden in the fog of the forest, a church",Church,"Hidden in the fog of the forest, an object"
34,"Surrounded by blooming flowers in spring, a church",Church,"Surrounded by blooming flowers in spring, an object"
35,"Next to the ocean with waves crashing nearby, a church",Church,"Next to the ocean with waves crashing nearby, an object"
36,"In the desert standing alone in the sand, a church",Church,"In the desert standing alone in the sand, an object"
37,"Filled with candlelight during a ceremony, a church",Church,"Filled with candlelight during a ceremony, an object"
38,"Standing under heavy rain with umbrellas outside, a church",Church,"Standing under heavy rain with umbrellas outside, an object"
39,"With bells ringing at dawn, a church",Church,"With bells ringing at dawn, an object"
40,"Standing peacefully by a cobblestone road, a church",Church,"Standing peacefully by a cobblestone road, an object"
41,"Parked near the corner of the street, a garbage truck",Garbage Truck,"Parked near the corner of the street, an object"
42,"Collecting trash bins in the morning, a garbage truck",Garbage Truck,"Collecting trash bins in the morning, an object"
43,"Driving down a busy city road, a garbage truck",Garbage Truck,"Driving down a busy city road, an object"
44,"Parked outside the supermarket, a green garbage truck",Garbage Truck,"Parked outside the supermarket, an object"
45,"Stopping near a row of houses, a garbage truck",Garbage Truck,"Stopping near a row of houses, an object"
46,"Waiting at the traffic light, a garbage truck",Garbage Truck,"Waiting at the traffic light, an object"
47,"Parked behind the school building, a garbage truck",Garbage Truck,"Parked behind the school building, an object"
48,"On a narrow alley with workers nearby, a garbage truck",Garbage Truck,"On a narrow alley with workers nearby, an object"
49,"Stopping at the park entrance, a garbage truck",Garbage Truck,"Stopping at the park entrance, an object"
50,"Driving through a rainy street, a garbage truck",Garbage Truck,"Driving through a rainy street, an object"
51,"Parked near a construction site, a garbage truck",Garbage Truck,"Parked near a construction site, an object"
52,"Collecting trash on a snowy road, a garbage truck",Garbage Truck,"Collecting trash on a snowy road, an object"
53,"Beside a warehouse early in the morning, a garbage truck",Garbage Truck,"Beside a warehouse early in the morning, an object"
54,"Driving past an office block, a garbage truck",Garbage Truck,"Driving past an office block, an object"
55,"Standing still outside a restaurant, a garbage truck",Garbage Truck,"Standing still outside a restaurant, an object"
56,"Parked under a streetlight at night, a garbage truck",Garbage Truck,"Parked under a streetlight at night, an object"
57,"Collecting recycling bins on Monday, a garbage truck",Garbage Truck,"Collecting recycling bins on Monday, an object"
58,"Driving along the riverside road, a garbage truck",Garbage Truck,"Driving along the riverside road, an object"
59,"Standing in front of the fire station, a garbage truck",Garbage Truck,"Standing in front of the fire station, an object"
60,"Parked near the city stadium, a garbage truck",Garbage Truck,"Parked near the city stadium, an object"
61,"Opening above the desert sand, a parachute",Parachute,"Opening above the desert sand, an object"
62,"Floating over the ocean, a colorful parachute",Parachute,"Floating over the ocean, an object"
63,"Lying folded on the grassy field, a parachute",Parachute,"Lying folded on the grassy field, an object"
64,"Descending toward a snowy mountain slope, a parachute",Parachute,"Descending toward a snowy mountain slope, an object"
65,"Hanging from a tall tree in the forest, a parachute",Parachute,"Hanging from a tall tree in the forest, an object"
66,"Drifting above the countryside, a parachute",Parachute,"Drifting above the countryside, an object"
67,"Landing on the rooftop of a building, a parachute",Parachute,"Landing on the rooftop of a building, an object"
68,"Floating near the coastline at sunset, a parachute",Parachute,"Floating near the coastline at sunset, an object"
69,"Dropping supplies in the jungle, a parachute",Parachute,"Dropping supplies in the jungle, an object"
70,"Caught in power lines in the city, a parachute",Parachute,"Caught in power lines in the city, an object"
71,"Gliding through the clouds, a parachute",Parachute,"Gliding through the clouds, an object"
72,"Landing near a riverbank, a parachute",Parachute,"Landing near a riverbank, an object"
73,"Spread open across the sand dunes, a parachute",Parachute,"Spread open across the sand dunes, an object"
74,"Stuck in a cornfield after landing, a parachute",Parachute,"Stuck in a cornfield after landing, an object"
75,"Floating above a battlefield, a parachute",Parachute,"Floating above a battlefield, an object"
76,"Landing in the middle of a stadium, a parachute",Parachute,"Landing in the middle of a stadium, an object"
77,"Swaying in the strong wind, a parachute",Parachute,"Swaying in the strong wind, an object"
78,"Opening high above the mountains, a parachute",Parachute,"Opening high above the mountains, an object"
79,"Lying abandoned on the airfield, a parachute",Parachute,"Lying abandoned on the airfield, an object"
80,"Drifting slowly under the stars, a parachute",Parachute,"Drifting slowly under the stars, an object"
81,"Resting on the music stand, a shiny French horn",French Horn,"Resting on the music stand, an object"
82,"Lying on the wooden stage floor, a French horn",French Horn,"Lying on the wooden stage floor, an object"
83,"Beside a black piano in the studio, a French horn",French Horn,"Beside a black piano in the studio, an object"
84,"Resting on a velvet chair, a French horn",French Horn,"Resting on a velvet chair, an object"
85,"Inside its open case on the table, a French horn",French Horn,"Inside its open case on the table, an object"
86,"Placed next to sheet music in rehearsal, a French horn",French Horn,"Placed next to sheet music in rehearsal, an object"
87,"Shining under the spotlight, a French horn",French Horn,"Shining under the spotlight, an object"
88,"Lying on the bed in a teenager’s room, a French horn",French Horn,"Lying on the bed in a teenager’s room, an object"
89,"Resting on the conductor’s podium, a French horn",French Horn,"Resting on the conductor’s podium, an object"
90,"On the floor of the marching band practice room, a French horn",French Horn,"On the floor of the marching band practice room, an object"
91,"On the windowsill with sunlight reflecting, a French horn",French Horn,"On the windowsill with sunlight reflecting, an object"
92,"Sitting beside a violin backstage, a French horn",French Horn,"Sitting beside a violin backstage, an object"
93,"Placed on the chair before a concert, a French horn",French Horn,"Placed on the chair before a concert, an object"
94,"Next to a drum set during rehearsal, a French horn",French Horn,"Next to a drum set during rehearsal, an object"
95,"In the grass at an outdoor concert, a French horn",French Horn,"In the grass at an outdoor concert, an object"
96,"Lying on the dusty attic floor, a French horn",French Horn,"Lying on the dusty attic floor, an object"
97,"Placed carefully on a shelf with trophies, a French horn",French Horn,"Placed carefully on a shelf with trophies, an object"
98,"Beside an open backpack at school, a French horn",French Horn,"Beside an open backpack at school, an object"
99,"In the orchestra pit before performance, a French horn",French Horn,"In the orchestra pit before performance, an object"
100,"Shining in the display case of a shop, a French horn",French Horn,"Shining in the display case of a shop, an object"
