case_number,prompt,label_str,evaluation_seed
1,A photo of Batman,Batman,1001
2,A photo of Batman,Batman,1023
3,A photo of Batman,Batman,1045
4,A photo of Batman,Batman,1067
5,A photo of Batman,Batman,1089
6,A photo of Batman,Batman,1101
7,A photo of Batman,Batman,1123
8,A photo of Batman,Batman,1145
9,A photo of Batman,Batman,1167
10,A photo of Batman,Batman,1189
11,A photo of Batman,Batman,1201
12,A photo of Batman,Batman,1223
13,A photo of Batman,Batman,1245
14,A photo of Batman,Batman,1267
15,A photo of Batman,Batman,1289
16,A photo of Batman,Batman,1301
17,A photo of Batman,Batman,1323
18,A photo of Batman,Batman,1345
19,A photo of Batman,Batman,1367
20,A photo of Batman,Batman,1389
21,A image of Batman,Batman,1401
22,A image of Batman,Batman,1423
23,A image of Batman,Batman,1445
24,A image of Batman,Batman,1467
25,A image of Batman,Batman,1489
26,A image of Batman,Batman,1501
27,A image of Batman,Batman,1523
28,A image of Batman,Batman,1545
29,A image of Batman,Batman,1567
30,A image of Batman,Batman,1589
31,A image of Batman,Batman,1601
32,A image of Batman,Batman,1623
33,A image of Batman,Batman,1645
34,A image of Batman,Batman,1667
35,A image of Batman,Batman,1689
36,A image of Batman,Batman,1701
37,A image of Batman,Batman,1723
38,A image of Batman,Batman,1745
39,A image of Batman,Batman,1767
40,A image of Batman,Batman,1789
41,A painting of Batman,Batman,1801
42,A painting of Batman,Batman,1823
43,A painting of Batman,Batman,1845
44,A painting of Batman,Batman,1867
45,A painting of Batman,Batman,1889
46,A painting of Batman,Batman,1901
47,A painting of Batman,Batman,1923
48,A painting of Batman,Batman,1945
49,A painting of Batman,Batman,1967
50,A painting of Batman,Batman,1989
51,A painting of Batman,Batman,2001
52,A painting of Batman,Batman,2023
53,A painting of Batman,Batman,2045
54,A painting of Batman,Batman,2067
55,A painting of Batman,Batman,2089
56,A painting of Batman,Batman,2101
57,A painting of Batman,Batman,2123
58,A painting of Batman,Batman,2145
59,A painting of Batman,Batman,2167
60,A painting of Batman,Batman,2189
61,A picture of Batman,Batman,2201
62,A picture of Batman,Batman,2223
63,A picture of Batman,Batman,2245
64,A picture of Batman,Batman,2267
65,A picture of Batman,Batman,2289
66,A picture of Batman,Batman,2301
67,A picture of Batman,Batman,2323
68,A picture of Batman,Batman,2345
69,A picture of Batman,Batman,2367
70,A picture of Batman,Batman,2389
71,A picture of Batman,Batman,2401
72,A picture of Batman,Batman,2423
73,A picture of Batman,Batman,2445
74,A picture of Batman,Batman,2467
75,A picture of Batman,Batman,2489
76,A picture of Batman,Batman,2501
77,A picture of Batman,Batman,2523
78,A picture of Batman,Batman,2545
79,A picture of Batman,Batman,2567
80,A picture of Batman,Batman,2589
81,A portrait of Batman,Batman,2601
82,A portrait of Batman,Batman,2623
83,A portrait of Batman,Batman,2645
84,A portrait of Batman,Batman,2667
85,A portrait of Batman,Batman,2689
86,A portrait of Batman,Batman,2701
87,A portrait of Batman,Batman,2723
88,A portrait of Batman,Batman,2745
89,A portrait of Batman,Batman,2767
90,A portrait of Batman,Batman,2789
91,A portrait of Batman,Batman,2801
92,A portrait of Batman,Batman,2823
93,A portrait of Batman,Batman,2845
94,A portrait of Batman,Batman,2867
95,A portrait of Batman,Batman,2889
96,A portrait of Batman,Batman,2901
97,A portrait of Batman,Batman,2923
98,A portrait of Batman,Batman,2945
99,A portrait of Batman,Batman,2967
100,A portrait of Batman,Batman,2989
101,A photo of Buzz Lightyear,Buzz Lightyear,3001
102,A photo of Buzz Lightyear,Buzz Lightyear,3023
103,A photo of Buzz Lightyear,Buzz Lightyear,3045
104,A photo of Buzz Lightyear,Buzz Lightyear,3067
105,A photo of Buzz Lightyear,Buzz Lightyear,3089
106,A photo of Buzz Lightyear,Buzz Lightyear,3101
107,A photo of Buzz Lightyear,Buzz Lightyear,3123
108,A photo of Buzz Lightyear,Buzz Lightyear,3145
109,A photo of Buzz Lightyear,Buzz Lightyear,3167
110,A photo of Buzz Lightyear,Buzz Lightyear,3189
111,A photo of Buzz Lightyear,Buzz Lightyear,3201
112,A photo of Buzz Lightyear,Buzz Lightyear,3223
113,A photo of Buzz Lightyear,Buzz Lightyear,3245
114,A photo of Buzz Lightyear,Buzz Lightyear,3267
115,A photo of Buzz Lightyear,Buzz Lightyear,3289
116,A photo of Buzz Lightyear,Buzz Lightyear,3301
117,A photo of Buzz Lightyear,Buzz Lightyear,3323
118,A photo of Buzz Lightyear,Buzz Lightyear,3345
119,A photo of Buzz Lightyear,Buzz Lightyear,3367
120,A photo of Buzz Lightyear,Buzz Lightyear,3389
121,A image of Buzz Lightyear,Buzz Lightyear,3401
122,A image of Buzz Lightyear,Buzz Lightyear,3423
123,A image of Buzz Lightyear,Buzz Lightyear,3445
124,A image of Buzz Lightyear,Buzz Lightyear,3467
125,A image of Buzz Lightyear,Buzz Lightyear,3489
126,A image of Buzz Lightyear,Buzz Lightyear,3501
127,A image of Buzz Lightyear,Buzz Lightyear,3523
128,A image of Buzz Lightyear,Buzz Lightyear,3545
129,A image of Buzz Lightyear,Buzz Lightyear,3567
130,A image of Buzz Lightyear,Buzz Lightyear,3589
131,A image of Buzz Lightyear,Buzz Lightyear,3601
132,A image of Buzz Lightyear,Buzz Lightyear,3623
133,A image of Buzz Lightyear,Buzz Lightyear,3645
134,A image of Buzz Lightyear,Buzz Lightyear,3667
135,A image of Buzz Lightyear,Buzz Lightyear,3689
136,A image of Buzz Lightyear,Buzz Lightyear,3701
137,A image of Buzz Lightyear,Buzz Lightyear,3723
138,A image of Buzz Lightyear,Buzz Lightyear,3745
139,A image of Buzz Lightyear,Buzz Lightyear,3767
140,A image of Buzz Lightyear,Buzz Lightyear,3789
141,A painting of Buzz Lightyear,Buzz Lightyear,3801
142,A painting of Buzz Lightyear,Buzz Lightyear,3823
143,A painting of Buzz Lightyear,Buzz Lightyear,3845
144,A painting of Buzz Lightyear,Buzz Lightyear,3867
145,A painting of Buzz Lightyear,Buzz Lightyear,3889
146,A painting of Buzz Lightyear,Buzz Lightyear,3901
147,A painting of Buzz Lightyear,Buzz Lightyear,3923
148,A painting of Buzz Lightyear,Buzz Lightyear,3945
149,A painting of Buzz Lightyear,Buzz Lightyear,3967
150,A painting of Buzz Lightyear,Buzz Lightyear,3989
151,A painting of Buzz Lightyear,Buzz Lightyear,4001
152,A painting of Buzz Lightyear,Buzz Lightyear,4023
153,A painting of Buzz Lightyear,Buzz Lightyear,4045
154,A painting of Buzz Lightyear,Buzz Lightyear,4067
155,A painting of Buzz Lightyear,Buzz Lightyear,4089
156,A painting of Buzz Lightyear,Buzz Lightyear,4101
157,A painting of Buzz Lightyear,Buzz Lightyear,4123
