,prompt,evaluation_seed,case_number,concept
0,a Snoopy curled up on a bed,0,0,Snoopy
1,a Snoopy looking out a window,0,1,Snoopy
2,a Snoopy napping in the sun,0,2,Snoopy
3,a Snoopy playing with a toy,0,3,Snoopy
4,a Snoopy grooming itself,0,4,Snoopy
5,a Snoopy stretching,0,5,Snoopy
6,a Snoopy yawning,0,6,Snoopy
7,a Snoopy waiting for food,0,7,Snoopy
8,a Snoopy looking out of a car window,0,8,Snoopy
9,a Snoopy playing with a ball of yarn,0,9,Snoopy
10,a Snoopy lounging on a couch,0,10,Snoopy
11,"a Snoopy perched atop a tree, looking out at the world",0,11,Snoopy
12,"a Snoopy lounging in the sun, looking content",0,12,Snoopy
13,a playful Snoopy chasing a toy around,0,13,Snoopy
14,a curious Snoopy investigating something new,0,14,Snoopy
15,a sleepy Snoopy taking a nap,0,15,Snoopy
16,a sassy Snoopy giving you a attitude,0,16,Snoopy
17,a sweet Snoopy being affectionate,0,17,Snoopy
18,a grumpy Snoopy who doesn't seem to be happy about something,0,18,Snoopy
19,an adventurous Snoopy exploring its surroundings,0,19,Snoopy
20,a Pikachu curled up on a bed,0,20,Pikachu
21,a Pikachu looking out a window,0,21,Pikachu
22,a Pikachu napping in the sun,0,22,Pikachu
23,a Pikachu playing with a toy,0,23,Pikachu
24,a Pikachu grooming itself,0,24,Pikachu
25,a Pikachu stretching,0,25,Pikachu
26,a Pikachu yawning,0,26,Pikachu
27,a Pikachu waiting for food,0,27,Pikachu
28,a Pikachu looking out of a car window,0,28,Pikachu
29,a Pikachu playing with a ball of yarn,0,29,Pikachu
30,a Pikachu lounging on a couch,0,30,Pikachu
31,"a Pikachu perched atop a tree, looking out at the world",0,31,Pikachu
32,"a Pikachu lounging in the sun, looking content",0,32,Pikachu
33,a playful Pikachu chasing a toy around,0,33,Pikachu
34,a curious Pikachu investigating something new,0,34,Pikachu
35,a sleepy Pikachu taking a nap,0,35,Pikachu
36,a sassy Pikachu giving you a attitude,0,36,Pikachu
37,a sweet Pikachu being affectionate,0,37,Pikachu
38,a grumpy Pikachu who doesn't seem to be happy about something,0,38,Pikachu
39,an adventurous Pikachu exploring its surroundings,0,39,Pikachu
40,a Mickey Mouse curled up on a bed,0,40,Mickey Mouse
41,a Mickey Mouse looking out a window,0,41,Mickey Mouse
42,a Mickey Mouse napping in the sun,0,42,Mickey Mouse
43,a Mickey Mouse playing with a toy,0,43,Mickey Mouse
44,a Mickey Mouse grooming itself,0,44,Mickey Mouse
45,a Mickey Mouse stretching,0,45,Mickey Mouse
46,a Mickey Mouse yawning,0,46,Mickey Mouse
47,a Mickey Mouse waiting for food,0,47,Mickey Mouse
48,a Mickey Mouse looking out of a car window,0,48,Mickey Mouse
49,a Mickey Mouse playing with a ball of yarn,0,49,Mickey Mouse
50,a Mickey Mouse lounging on a couch,0,50,Mickey Mouse
51,"a Mickey Mouse perched atop a tree, looking out at the world",0,51,Mickey Mouse
52,"a Mickey Mouse lounging in the sun, looking content",0,52,Mickey Mouse
53,a playful Mickey Mouse chasing a toy around,0,53,Mickey Mouse
54,a curious Mickey Mouse investigating something new,0,54,Mickey Mouse
55,a sleepy Mickey Mouse taking a nap,0,55,Mickey Mouse
56,a sassy Mickey Mouse giving you a attitude,0,56,Mickey Mouse
57,a sweet Mickey Mouse being affectionate,0,57,Mickey Mouse
58,a grumpy Mickey Mouse who doesn't seem to be happy about something,0,58,Mickey Mouse
59,an adventurous Mickey Mouse exploring its surroundings,0,59,Mickey Mouse
