case_number,data,prompt,artist,evaluation_seed
0,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,6911
1,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,4181
2,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,7409
3,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,3045
4,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,1578
5,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,7005
6,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,1911
7,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,4859
8,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,5307
9,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,4980
10,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,9378
11,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,2021
12,generic_artists_prompts,a design of John Blanche,John Blanche,8504
13,generic_artists_prompts,a painting of John Blanche,John Blanche,1447
14,generic_artists_prompts,a piece of art of John Blanche,John Blanche,533
15,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,302
16,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,6876
17,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,9418
18,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,8656
19,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,5318
20,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,9606
21,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,2438
22,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,3867
23,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,277
24,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,4619
25,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,2204
26,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,9460
27,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,2540
28,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,5690
29,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,5988
30,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,4677
31,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,587
32,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,7881
33,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,1808
34,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,4186
35,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,4279
36,generic_artists_prompts,a design of Alec Soth,Alec Soth,2102
37,generic_artists_prompts,a painting of Alec Soth,Alec Soth,290
38,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,7125
39,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,9533
40,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,6825
41,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,7021
42,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,6558
43,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,6254
44,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,9450
45,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,9194
46,generic_artists_prompts,a piece of art of Alvaro Siza Vieira,Alvaro Siza Vieira,3516
47,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alvaro Siza Vieira,Alvaro Siza Vieira,8560
48,generic_artists_prompts,a design of André Kertész,André Kertész,1906
49,generic_artists_prompts,a painting of André Kertész,André Kertész,2008
50,generic_artists_prompts,a piece of art of André Kertész,André Kertész,494
51,generic_artists_prompts,an image in the style ofa reproduction of the famous art of André Kertész,André Kertész,637
52,generic_artists_prompts,a design of Asaf Hanuka,Asaf Hanuka,7491
53,generic_artists_prompts,a painting of Asaf Hanuka,Asaf Hanuka,3295
54,generic_artists_prompts,a piece of art of Asaf Hanuka,Asaf Hanuka,5268
55,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Asaf Hanuka,Asaf Hanuka,709
56,generic_artists_prompts,a design of Bridget Riley,Bridget Riley,2624
57,generic_artists_prompts,a painting of Bridget Riley,Bridget Riley,5572
58,generic_artists_prompts,a piece of art of Bridget Riley,Bridget Riley,6019
59,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Bridget Riley,Bridget Riley,1438
60,generic_artists_prompts,a design of Glen Keane,Glen Keane,3297
61,generic_artists_prompts,a painting of Glen Keane,Glen Keane,7890
62,generic_artists_prompts,a piece of art of Glen Keane,Glen Keane,1603
63,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Glen Keane,Glen Keane,1072
64,generic_artists_prompts,a design of John Constable,John Constable,6856
65,generic_artists_prompts,a painting of John Constable,John Constable,1597
66,generic_artists_prompts,a piece of art of John Constable,John Constable,2816
67,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Constable,John Constable,1600
68,generic_artists_prompts,a design of Andy Warhol,Andy Warhol,8665
69,generic_artists_prompts,a painting of Andy Warhol,Andy Warhol,5834
70,generic_artists_prompts,a piece of art of Andy Warhol,Andy Warhol,450
71,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Andy Warhol,Andy Warhol,2487
72,generic_artists_prompts,a design of Kirbi Fagan,Kirbi Fagan,7578
73,generic_artists_prompts,a painting of Kirbi Fagan,Kirbi Fagan,1624
74,generic_artists_prompts,a piece of art of Kirbi Fagan,Kirbi Fagan,7627
75,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kirbi Fagan,Kirbi Fagan,6225
76,generic_artists_prompts,a design of Nicky Boehme,Nicky Boehme,6781
77,generic_artists_prompts,a painting of Nicky Boehme,Nicky Boehme,6430
78,generic_artists_prompts,a piece of art of Nicky Boehme,Nicky Boehme,9926
79,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Nicky Boehme,Nicky Boehme,8919
80,generic_artists_prompts,a design of Tokyo Ghoul,Tokyo Ghoul,6839
81,generic_artists_prompts,a painting of Tokyo Ghoul,Tokyo Ghoul,8697
82,generic_artists_prompts,a piece of art of Tokyo Ghoul,Tokyo Ghoul,505
83,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tokyo Ghoul,Tokyo Ghoul,6572
84,generic_artists_prompts,a design of Muhammad Nafay,Muhammad Nafay,4972
85,generic_artists_prompts,a painting of Muhammad Nafay,Muhammad Nafay,6289
86,generic_artists_prompts,a piece of art of Muhammad Nafay,Muhammad Nafay,9501
87,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Muhammad Nafay,Muhammad Nafay,1162
88,generic_artists_prompts,a design of Feng Zhu,Feng Zhu,6311
89,generic_artists_prompts,a painting of Feng Zhu,Feng Zhu,9742
90,generic_artists_prompts,a piece of art of Feng Zhu,Feng Zhu,8992
91,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Feng Zhu,Feng Zhu,3974
92,generic_artists_prompts,a design of Jean Giraud,Jean Giraud,3662
93,generic_artists_prompts,a painting of Jean Giraud,Jean Giraud,2207
94,generic_artists_prompts,a piece of art of Jean Giraud,Jean Giraud,4065
95,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Jean Giraud,Jean Giraud,408
96,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,7428
97,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,7318
98,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,8159
99,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,9217
100,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,894
101,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,4720
102,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,3445
103,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,5412
104,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,7362
105,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,1885
106,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,2807
107,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,8258
108,generic_artists_prompts,a design of John Blanche,John Blanche,964
109,generic_artists_prompts,a painting of John Blanche,John Blanche,667
110,generic_artists_prompts,a piece of art of John Blanche,John Blanche,7485
111,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,6029
112,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,9460
113,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,7048
114,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,9648
115,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,5582
116,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,5013
117,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,1726
118,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,4208
119,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,3206
120,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,3803
121,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,2123
122,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,6012
123,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,8548
124,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,9699
125,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,248
126,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,3267
127,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,7971
128,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,4168
129,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,4113
130,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,4504
131,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,3684
132,generic_artists_prompts,a design of Alec Soth,Alec Soth,51
133,generic_artists_prompts,a painting of Alec Soth,Alec Soth,471
134,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,5529
135,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,4075
136,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,4563
137,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,5994
138,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,9660
139,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,8341
140,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,4800
141,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,5873
142,generic_artists_prompts,a piece of art of Alvaro Siza Vieira,Alvaro Siza Vieira,6283
143,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alvaro Siza Vieira,Alvaro Siza Vieira,5027
144,generic_artists_prompts,a design of André Kertész,André Kertész,2067
145,generic_artists_prompts,a painting of André Kertész,André Kertész,4487
146,generic_artists_prompts,a piece of art of André Kertész,André Kertész,7519
147,generic_artists_prompts,an image in the style ofa reproduction of the famous art of André Kertész,André Kertész,2680
148,generic_artists_prompts,a design of Asaf Hanuka,Asaf Hanuka,4980
149,generic_artists_prompts,a painting of Asaf Hanuka,Asaf Hanuka,2669
150,generic_artists_prompts,a piece of art of Asaf Hanuka,Asaf Hanuka,7235
151,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Asaf Hanuka,Asaf Hanuka,9618
152,generic_artists_prompts,a design of Bridget Riley,Bridget Riley,867
153,generic_artists_prompts,a painting of Bridget Riley,Bridget Riley,4717
154,generic_artists_prompts,a piece of art of Bridget Riley,Bridget Riley,5144
155,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Bridget Riley,Bridget Riley,3381
156,generic_artists_prompts,a design of Glen Keane,Glen Keane,6239
157,generic_artists_prompts,a painting of Glen Keane,Glen Keane,7962
158,generic_artists_prompts,a piece of art of Glen Keane,Glen Keane,1434
159,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Glen Keane,Glen Keane,597
160,generic_artists_prompts,a design of John Constable,John Constable,7653
161,generic_artists_prompts,a painting of John Constable,John Constable,429
162,generic_artists_prompts,a piece of art of John Constable,John Constable,3461
163,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Constable,John Constable,4516
164,generic_artists_prompts,a design of Andy Warhol,Andy Warhol,6992
165,generic_artists_prompts,a painting of Andy Warhol,Andy Warhol,4296
166,generic_artists_prompts,a piece of art of Andy Warhol,Andy Warhol,2889
167,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Andy Warhol,Andy Warhol,776
168,generic_artists_prompts,a design of Kirbi Fagan,Kirbi Fagan,2168
169,generic_artists_prompts,a painting of Kirbi Fagan,Kirbi Fagan,1090
170,generic_artists_prompts,a piece of art of Kirbi Fagan,Kirbi Fagan,1240
171,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kirbi Fagan,Kirbi Fagan,5167
172,generic_artists_prompts,a design of Nicky Boehme,Nicky Boehme,6203
173,generic_artists_prompts,a painting of Nicky Boehme,Nicky Boehme,1088
174,generic_artists_prompts,a piece of art of Nicky Boehme,Nicky Boehme,8921
175,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Nicky Boehme,Nicky Boehme,8655
176,generic_artists_prompts,a design of Tokyo Ghoul,Tokyo Ghoul,7147
177,generic_artists_prompts,a painting of Tokyo Ghoul,Tokyo Ghoul,6208
178,generic_artists_prompts,a piece of art of Tokyo Ghoul,Tokyo Ghoul,7445
179,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tokyo Ghoul,Tokyo Ghoul,5002
180,generic_artists_prompts,a design of Muhammad Nafay,Muhammad Nafay,1038
181,generic_artists_prompts,a painting of Muhammad Nafay,Muhammad Nafay,8593
182,generic_artists_prompts,a piece of art of Muhammad Nafay,Muhammad Nafay,3792
183,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Muhammad Nafay,Muhammad Nafay,7305
184,generic_artists_prompts,a design of Feng Zhu,Feng Zhu,5953
185,generic_artists_prompts,a painting of Feng Zhu,Feng Zhu,1127
186,generic_artists_prompts,a piece of art of Feng Zhu,Feng Zhu,7991
187,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Feng Zhu,Feng Zhu,4115
188,generic_artists_prompts,a design of Jean Giraud,Jean Giraud,170
189,generic_artists_prompts,a painting of Jean Giraud,Jean Giraud,3048
190,generic_artists_prompts,a piece of art of Jean Giraud,Jean Giraud,3069
191,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Jean Giraud,Jean Giraud,3683
192,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,5596
193,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,7262
194,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,644
195,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,2028
196,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,1680
197,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,7528
198,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,1875
199,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,2313
200,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,8629
201,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,5156
202,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,1850
203,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,5594
204,generic_artists_prompts,a design of John Blanche,John Blanche,1372
205,generic_artists_prompts,a painting of John Blanche,John Blanche,3897
206,generic_artists_prompts,a piece of art of John Blanche,John Blanche,8901
207,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,7120
208,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,271
209,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,198
210,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,1235
211,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,247
212,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,4857
213,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,5853
214,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,9239
215,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,6237
216,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,7568
217,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,6473
218,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,1187
219,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,455
220,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,5868
221,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,3205
222,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,6941
223,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,9068
224,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,4901
225,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,873
226,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,7242
227,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,1354
228,generic_artists_prompts,a design of Alec Soth,Alec Soth,4185
229,generic_artists_prompts,a painting of Alec Soth,Alec Soth,7996
230,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,9519
231,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,5599
232,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,763
233,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,3406
234,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,7033
235,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,5870
236,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,1680
237,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,1715
238,generic_artists_prompts,a piece of art of Alvaro Siza Vieira,Alvaro Siza Vieira,5907
239,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alvaro Siza Vieira,Alvaro Siza Vieira,9643
240,generic_artists_prompts,a design of André Kertész,André Kertész,8391
241,generic_artists_prompts,a painting of André Kertész,André Kertész,3486
242,generic_artists_prompts,a piece of art of André Kertész,André Kertész,3634
243,generic_artists_prompts,an image in the style ofa reproduction of the famous art of André Kertész,André Kertész,9281
244,generic_artists_prompts,a design of Asaf Hanuka,Asaf Hanuka,3867
245,generic_artists_prompts,a painting of Asaf Hanuka,Asaf Hanuka,4353
246,generic_artists_prompts,a piece of art of Asaf Hanuka,Asaf Hanuka,5255
247,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Asaf Hanuka,Asaf Hanuka,5218
248,generic_artists_prompts,a design of Bridget Riley,Bridget Riley,4
249,generic_artists_prompts,a painting of Bridget Riley,Bridget Riley,5626
250,generic_artists_prompts,a piece of art of Bridget Riley,Bridget Riley,98
251,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Bridget Riley,Bridget Riley,6620
252,generic_artists_prompts,a design of Glen Keane,Glen Keane,3806
253,generic_artists_prompts,a painting of Glen Keane,Glen Keane,4651
254,generic_artists_prompts,a piece of art of Glen Keane,Glen Keane,6136
255,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Glen Keane,Glen Keane,5518
256,generic_artists_prompts,a design of John Constable,John Constable,6426
257,generic_artists_prompts,a painting of John Constable,John Constable,8112
258,generic_artists_prompts,a piece of art of John Constable,John Constable,6977
259,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Constable,John Constable,3997
260,generic_artists_prompts,a design of Andy Warhol,Andy Warhol,9062
261,generic_artists_prompts,a painting of Andy Warhol,Andy Warhol,931
262,generic_artists_prompts,a piece of art of Andy Warhol,Andy Warhol,4228
263,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Andy Warhol,Andy Warhol,2934
264,generic_artists_prompts,a design of Kirbi Fagan,Kirbi Fagan,4467
265,generic_artists_prompts,a painting of Kirbi Fagan,Kirbi Fagan,5122
266,generic_artists_prompts,a piece of art of Kirbi Fagan,Kirbi Fagan,7324
267,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kirbi Fagan,Kirbi Fagan,6806
