id,prompt,keyword,target_prompt,context
1,A photo of Henry Cavill smiling,Henry Cavill,A photo of a man smiling,smiling
2,A photo of Henry Cavill waving,Henry Cavill,A photo of a man waving,waving
3,A photo of Henry Cavill reading,Henry Cavill,A photo of a man reading,reading
4,A photo of Henry Cavill walking,Henry Cavill,A photo of a man walking,walking
5,A photo of Henry Cavill sitting,Henry Cavill,A photo of a man sitting,sitting
6,A photo of Henry Cavill standing,Henry Cavill,A photo of a man standing,standing
7,A photo of Henry Cavill laughing,Henry Cavill,A photo of a man laughing,laughing
8,A photo of Henry Cavill writing,Henry Cavill,A photo of a man writing,writing
9,A photo of Henry Cavill pointing,Henry Cavill,A photo of a man pointing,pointing
10,A photo of Henry Cavill speaking,Henry Cavill,A photo of a man speaking,speaking
11,A photo of Henry Cavill thinking,Henry Cavill,A photo of a man thinking,thinking
12,A photo of Henry Cavill clapping,Henry Cavill,A photo of a man clapping,clapping
13,A photo of Henry Cavill eating,Henry Cavill,A photo of a man eating,eating
14,A photo of Henry Cavill drinking,Henry Cavill,A photo of a man drinking,drinking
15,A photo of Henry Cavill looking up,Henry Cavill,A photo of a man looking up,looking up
16,A photo of Henry Cavill looking down,Henry Cavill,A photo of a man looking down,looking down
17,A photo of Henry Cavill gesturing,Henry Cavill,A photo of a man gesturing,gesturing
18,A photo of Henry Cavill nodding,Henry Cavill,A photo of a man nodding,nodding
19,A photo of Henry Cavill holding a book,Henry Cavill,A photo of a man holding a book,holding a book
20,A photo of Henry Cavill wearing a suit,Henry Cavill,A photo of a man wearing a suit,wearing a suit
21,A photo of Henry Cavill running,Henry Cavill,A photo of a man running,running
22,A photo of Henry Cavill jumping,Henry Cavill,A photo of a man jumping,jumping
23,A photo of Henry Cavill stretching,Henry Cavill,A photo of a man stretching,stretching
24,A photo of Henry Cavill dancing,Henry Cavill,A photo of a man dancing,dancing
25,A photo of Henry Cavill singing,Henry Cavill,A photo of a man singing,singing
26,A photo of Henry Cavill cooking,Henry Cavill,A photo of a man cooking,cooking
27,A photo of Henry Cavill driving,Henry Cavill,A photo of a man driving,driving
28,A photo of Henry Cavill swimming,Henry Cavill,A photo of a man swimming,swimming
29,A photo of Henry Cavill cycling,Henry Cavill,A photo of a man cycling,cycling
30,A photo of Henry Cavill fishing,Henry Cavill,A photo of a man fishing,fishing
31,A photo of Henry Cavill gardening,Henry Cavill,A photo of a man gardening,gardening
32,A photo of Henry Cavill painting,Henry Cavill,A photo of a man painting,painting
33,A photo of Henry Cavill playing guitar,Henry Cavill,A photo of a man playing guitar,playing guitar
34,A photo of Henry Cavill playing piano,Henry Cavill,A photo of a man playing piano,playing piano
35,A photo of Henry Cavill playing chess,Henry Cavill,A photo of a man playing chess,playing chess
36,A photo of Henry Cavill exercising,Henry Cavill,A photo of a man exercising,exercising
37,A photo of Henry Cavill meditating,Henry Cavill,A photo of a man meditating,meditating
38,A photo of Henry Cavill sleeping,Henry Cavill,A photo of a man sleeping,sleeping
39,A photo of Henry Cavill yawning,Henry Cavill,A photo of a man yawning,yawning
40,A photo of Henry Cavill sneezing,Henry Cavill,A photo of a man sneezing,sneezing
41,A photo of Henry Cavill coughing,Henry Cavill,A photo of a man coughing,coughing
42,A photo of Henry Cavill hugging,Henry Cavill,A photo of a man hugging,hugging
43,A photo of Henry Cavill shaking hands,Henry Cavill,A photo of a man shaking hands,shaking hands
44,A photo of Henry Cavill high-fiving,Henry Cavill,A photo of a man high-fiving,high-fiving
45,A photo of Henry Cavill thumbs up,Henry Cavill,A photo of a man thumbs up,thumbs up
46,A photo of Henry Cavill peace sign,Henry Cavill,A photo of a man peace sign,peace sign
47,A photo of Henry Cavill saluting,Henry Cavill,A photo of a man saluting,saluting
48,A photo of Henry Cavill bowing,Henry Cavill,A photo of a man bowing,bowing
49,A photo of Henry Cavill kneeling,Henry Cavill,A photo of a man kneeling,kneeling
50,A photo of Henry Cavill crouching,Henry Cavill,A photo of a man crouching,crouching
