ID,prompt,keyword,target_prompt
1,"Cassette Player on the dusty shelf",Cassette Player,"on the dusty shelf"
2,"Cassette Player resting on a wooden desk in the study",Cassette Player,"resting on a wooden desk in the study"
3,"Cassette Player sitting next to a stack of vinyl records",Cassette Player,"sitting next to a stack of vinyl records"
4,"Cassette Player placed beside an old radio in the living room",Cassette Player,"placed beside an old radio in the living room"
5,"Cassette Player lying on the floor near a beanbag chair",Cassette Player,"lying on the floor near a beanbag chair"
6,"Cassette Player next to a pile of mixtapes on the table",Cassette Player,"next to a pile of mixtapes on the table"
7,"Cassette Player on the nightstand with headphones attached",Cassette Player,"on the nightstand with headphones attached"
8,"Cassette Player on a classroom desk during a lecture",Cassette Player,"on a classroom desk during a lecture"
9,"Cassette Player inside a teenager's messy bedroom",Cassette Player,"inside a teenager's messy bedroom"
10,"Cassette Player on the car dashboard playing music",Cassette Player,"on the car dashboard playing music"
11,"Cassette Player on the park bench with a backpack nearby",Cassette Player,"on the park bench with a backpack nearby"
12,"Cassette Player sitting on the windowsill in the sun",Cassette Player,"sitting on the windowsill in the sun"
13,"Cassette Player on the office shelf beside old books",Cassette Player,"on the office shelf beside old books"
14,"Cassette Player resting on a picnic blanket in the park",Cassette Player,"resting on a picnic blanket in the park"
15,"Cassette Player on the counter at a thrift store",Cassette Player,"on the counter at a thrift store"
16,"Cassette Player on the stage floor during band practice",Cassette Player,"on the stage floor during band practice"
17,"Cassette Player sitting next to a retro television set",Cassette Player,"sitting next to a retro television set"
18,"Cassette Player resting on the teacher's desk in school",Cassette Player,"resting on the teacher's desk in school"
19,"Cassette Player on the ground next to a skateboard",Cassette Player,"on the ground next to a skateboard"
20,"Cassette Player placed beside candles in a dimly lit room",Cassette Player,"placed beside candles in a dimly lit room"
21,"Church standing quietly in the countryside",Church,"standing quietly in the countryside"
22,"Church with stained glass windows glowing at sunset",Church,"with stained glass windows glowing at sunset"
23,"Church surrounded by tall oak trees in the village",Church,"surrounded by tall oak trees in the village"
24,"Church at the top of the hill overlooking the valley",Church,"at the top of the hill overlooking the valley"
25,"Church rising above the rooftops",Church,"rising above the rooftops"
26,"Church next to a river crossing",Church,"next to a river crossing"
27,"Church in the snowy mountains",Church,"in the snowy mountains"
28,"Church with an open door inviting people inside",Church,"with an open door inviting people inside"
29,"Church covered in ivy and moss",Church,"covered in ivy and moss"
30,"Church at the town square during a festival",Church,"at the town square during a festival"
31,"Church beside a graveyard under the moonlight",Church,"beside a graveyard under the moonlight"
32,"Church with red roof tiles glowing under morning sun",Church,"with red roof tiles glowing under morning sun"
33,"Church hidden in the fog of the forest",Church,"hidden in the fog of the forest"
34,"Church surrounded by blooming flowers in spring",Church,"surrounded by blooming flowers in spring"
35,"Church next to the ocean with waves crashing nearby",Church,"next to the ocean with waves crashing nearby"
36,"Church in the desert standing alone in the sand",Church,"in the desert standing alone in the sand"
37,"Church filled with candlelight during a ceremony",Church,"filled with candlelight during a ceremony"
38,"Church standing under heavy rain with umbrellas outside",Church,"standing under heavy rain with umbrellas outside"
39,"Church with bells ringing at dawn",Church,"with bells ringing at dawn"
40,"Church standing peacefully by a cobblestone road",Church,"standing peacefully by a cobblestone road"
41,"Garbage Truck parked near the corner of the street",Garbage Truck,"parked near the corner of the street"
42,"Garbage Truck collecting trash bins in the morning",Garbage Truck,"collecting trash bins in the morning"
43,"Garbage Truck driving down a busy city road",Garbage Truck,"driving down a busy city road"
44,"Garbage Truck parked outside the supermarket",Garbage Truck,"parked outside the supermarket"
45,"Garbage Truck stopping near a row of houses",Garbage Truck,"stopping near a row of houses"
46,"Garbage Truck waiting at the traffic light",Garbage Truck,"waiting at the traffic light"
47,"Garbage Truck parked behind the school building",Garbage Truck,"parked behind the school building"
48,"Garbage Truck on a narrow alley with workers nearby",Garbage Truck,"on a narrow alley with workers nearby"
49,"Garbage Truck stopping at the park entrance",Garbage Truck,"stopping at the park entrance"
50,"Garbage Truck driving through a rainy street",Garbage Truck,"driving through a rainy street"
51,"Garbage Truck parked near a construction site",Garbage Truck,"parked near a construction site"
52,"Garbage Truck collecting trash on a snowy road",Garbage Truck,"collecting trash on a snowy road"
53,"Garbage Truck beside a warehouse early in the morning",Garbage Truck,"beside a warehouse early in the morning"
54,"Garbage Truck driving past an office block",Garbage Truck,"driving past an office block"
55,"Garbage Truck standing still outside a restaurant",Garbage Truck,"standing still outside a restaurant"
56,"Garbage Truck parked under a streetlight at night",Garbage Truck,"parked under a streetlight at night"
57,"Garbage Truck collecting recycling bins on Monday",Garbage Truck,"collecting recycling bins on Monday"
58,"Garbage Truck driving along the riverside road",Garbage Truck,"driving along the riverside road"
59,"Garbage Truck standing in front of the fire station",Garbage Truck,"standing in front of the fire station"
60,"Garbage Truck parked near the city stadium",Garbage Truck,"parked near the city stadium"
