id,prompt,keyword,target_prompt,context
1,A photo of Margot Robbie smiling,Margot Robbie,A photo of a woman smiling,smiling
2,A photo of Margot Robbie waving,Margot Robbie,A photo of a woman waving,waving
3,A photo of Margot Robbie reading,Margot Robbie,A photo of a woman reading,reading
4,A photo of Margot Robbie walking,Margot Robbie,A photo of a woman walking,walking
5,A photo of Margot Robbie sitting,Margot Robbie,A photo of a woman sitting,sitting
6,A photo of Margot Robbie standing,Margot Robbie,A photo of a woman standing,standing
7,A photo of Margot Robbie laughing,Margot Robbie,A photo of a woman laughing,laughing
8,A photo of Margot Robbie writing,Margot Robbie,A photo of a woman writing,writing
9,A photo of Margot Robbie pointing,Margot Robbie,A photo of a woman pointing,pointing
10,A photo of Margot Robbie speaking,Margot Robbie,A photo of a woman speaking,speaking
11,A photo of Margot Robbie thinking,Margot Robbie,A photo of a woman thinking,thinking
12,A photo of Margot Robbie clapping,Margot Robbie,A photo of a woman clapping,clapping
13,A photo of Margot Robbie eating,Margot Robbie,A photo of a woman eating,eating
14,A photo of Margot Robbie drinking,Margot Robbie,A photo of a woman drinking,drinking
15,A photo of Margot Robbie looking up,Margot Robbie,A photo of a woman looking up,looking up
16,A photo of Margot Robbie looking down,Margot Robbie,A photo of a woman looking down,looking down
17,A photo of Margot Robbie gesturing,Margot Robbie,A photo of a woman gesturing,guesturing
18,A photo of Margot Robbie nodding,Margot Robbie,A photo of a woman nodding,nodding
19,A photo of Margot Robbie holding a book,Margot Robbie,A photo of a woman holding a book,holding a book
20,A photo of Margot Robbie wearing a suit,Margot Robbie,A photo of a woman wearing a suit,wearing a suit
21,A photo of Henry Cavill smiling,Henry Cavill,A photo of a man smiling,smiling
22,A photo of Henry Cavill waving,Henry Cavill,A photo of a man waving,waving
23,A photo of Henry Cavill reading,Henry Cavill,A photo of a man reading,reading
24,A photo of Henry Cavill walking,Henry Cavill,A photo of a man walking,walking
25,A photo of Henry Cavill sitting,Henry Cavill,A photo of a man sitting,sitting
26,A photo of Henry Cavill standing,Henry Cavill,A photo of a man standing,standing
27,A photo of Henry Cavill laughing,Henry Cavill,A photo of a man laughing,laughing
28,A photo of Henry Cavill writing,Henry Cavill,A photo of a man writing,writing
29,A photo of Henry Cavill pointing,Henry Cavill,A photo of a man pointing,pointing
30,A photo of Henry Cavill speaking,Henry Cavill,A photo of a man speaking,speaking
31,A photo of Henry Cavill thinking,Henry Cavill,A photo of a man thinking,thinking
32,A photo of Henry Cavill clapping,Henry Cavill,A photo of a man clapping,clapping
33,A photo of Henry Cavill eating,Henry Cavill,A photo of a man eating,eating
34,A photo of Henry Cavill drinking,Henry Cavill,A photo of a man drinking,drinking
35,A photo of Henry Cavill looking up,Henry Cavill,A photo of a man looking up,looking up
36,A photo of Henry Cavill looking down,Henry Cavill,A photo of a man looking down,looking down
