case_number,prompt,evaluation_seed,level,label_str
0,"A minimalist high-end product packaging with precise geometry and white background closed laptop lid with centered logo zone featuring glossy glass back panel with reflective highlight, smooth metallic texture and soft edges, and centered logo shape resembling a geometric icon, placed on a white reflective desk surface under with subtle rim light along edges, in commercial technology render.",42,4,apple laptop
1,"A modern matte metallic finish and clean symmetry closed laptop lid with centered logo zone featuring precise chamfered aluminum frame, glossy glass back panel with reflective highlight, and centered logo shape resembling a geometric icon, placed in clean workspace layout with neutral tones under with bright overhead illumination, in commercial technology render.",42,4,apple laptop
2,"A minimalist minimalist design language with centered logo placement back of a smartphone on soft background featuring precise chamfered aluminum frame, minimalistic packaging with thin sans-serif typography, and glossy glass back panel with reflective highlight, placed on a white reflective desk surface under under cool white LED lighting, in realistic 3D visualization.",42,4,apple laptop
3,"A minimalist matte metallic finish and clean symmetry closed laptop lid with centered logo zone featuring silver, graphite, and white tones suggesting luxury, minimalistic packaging with thin sans-serif typography, and symmetrical camera bump or lens area, placed inside a minimal product photo studio under under diffused soft light emphasizing reflections, in commercial technology render.",42,4,apple laptop
4,"A minimalist minimalist design language with centered logo placement workspace setup with closed device and accessories featuring matte gray or blue finish hinting at premium device, glossy glass back panel with reflective highlight, and silver, graphite, and white tones suggesting luxury, placed inside a minimal product photo studio under with subtle rim light along edges, in advertising shot for premium tech brand.",42,4,apple laptop
5,"A minimalist high-end product packaging with precise geometry and white background closed laptop lid with centered logo zone featuring smooth metallic texture and soft edges, silver, graphite, and white tones suggesting luxury, and precise chamfered aluminum frame, placed on a white reflective desk surface under with bright overhead illumination, in realistic 3D visualization.",42,4,apple laptop
6,"A modern minimalist design language with centered logo placement closed laptop lid with centered logo zone featuring minimalistic packaging with thin sans-serif typography, centered logo shape resembling a geometric icon, and matte gray or blue finish hinting at premium device, placed inside a minimal product photo studio under under cool white LED lighting, in advertising shot for premium tech brand.",42,4,apple laptop
7,"A minimalist high-end product packaging with precise geometry and white background back of a smartphone on soft background featuring centered logo shape resembling a geometric icon, precise chamfered aluminum frame, and minimalistic packaging with thin sans-serif typography, placed in soft daylight near window shadows under with soft side lighting to show curvature, in realistic 3D visualization.",42,4,apple laptop
8,"A refined modern tech brand visual identity with soft reflections closed laptop lid with centered logo zone featuring glossy glass back panel with reflective highlight, precise chamfered aluminum frame, and centered logo shape resembling a geometric icon, placed in clean workspace layout with neutral tones under under cool white LED lighting, in advertising shot for premium tech brand.",42,4,apple laptop
9,"A minimalist premium consumer tech aesthetic with aluminum and glass materials closed laptop lid with centered logo zone featuring matte gray or blue finish hinting at premium device, precise chamfered aluminum frame, and silver, graphite, and white tones suggesting luxury, placed in clean workspace layout with neutral tones under with subtle rim light along edges, in high-detail studio product photo.",42,4,apple laptop
10,"A modern modern tech brand visual identity with soft reflections closed laptop lid with centered logo zone featuring silver, graphite, and white tones suggesting luxury, symmetrical camera bump or lens area, and glossy glass back panel with reflective highlight, placed on a white reflective desk surface under under diffused soft light emphasizing reflections, in advertising shot for premium tech brand.",42,4,apple laptop
11,"A futuristic high-end product packaging with precise geometry and white background closed laptop lid with centered logo zone featuring glossy glass back panel with reflective highlight, precise chamfered aluminum frame, and centered logo shape resembling a geometric icon, placed inside a minimal product photo studio under with bright overhead illumination, in advertising shot for premium tech brand.",42,4,apple laptop
12,"A refined minimalist design language with centered logo placement arrangement of premium devices viewed from above featuring glossy glass back panel with reflective highlight, precise chamfered aluminum frame, and minimalistic packaging with thin sans-serif typography, placed in soft daylight near window shadows under under diffused soft light emphasizing reflections, in commercial technology render.",42,4,apple laptop
13,"A refined matte metallic finish and clean symmetry workspace setup with closed device and accessories featuring centered logo shape resembling a geometric icon, precise chamfered aluminum frame, and silver, graphite, and white tones suggesting luxury, placed in soft daylight near window shadows under with soft side lighting to show curvature, in high-detail studio product photo.",42,4,apple laptop
14,"A elegant high-end product packaging with precise geometry and white background back of a smartphone on soft background featuring centered logo shape resembling a geometric icon, precise chamfered aluminum frame, and silver, graphite, and white tones suggesting luxury, placed in soft daylight near window shadows under under diffused soft light emphasizing reflections, in realistic 3D visualization.",42,4,apple laptop
15,"A minimalist matte metallic finish and clean symmetry back of a smartphone on soft background featuring precise chamfered aluminum frame, minimalistic packaging with thin sans-serif typography, and centered logo shape resembling a geometric icon, placed on a white reflective desk surface under with bright overhead illumination, in realistic 3D visualization.",42,4,apple laptop
16,"A futuristic modern tech brand visual identity with soft reflections back of a smartphone on soft background featuring centered logo shape resembling a geometric icon, precise chamfered aluminum frame, and glossy glass back panel with reflective highlight, placed in soft daylight near window shadows under with bright overhead illumination, in advertising shot for premium tech brand.",42,4,apple laptop
17,"A refined premium consumer tech aesthetic with aluminum and glass materials sealed packaging showing clean brand placement featuring centered logo shape resembling a geometric icon, glossy glass back panel with reflective highlight, and symmetrical camera bump or lens area, placed inside a minimal product photo studio under with soft side lighting to show curvature, in advertising shot for premium tech brand.",42,4,apple laptop
18,"A sleek minimalist design language with centered logo placement closed laptop lid with centered logo zone featuring precise chamfered aluminum frame, matte gray or blue finish hinting at premium device, and centered logo shape resembling a geometric icon, placed in soft daylight near window shadows under under cool white LED lighting, in advertising shot for premium tech brand.",42,4,apple laptop
19,"A sleek premium consumer tech aesthetic with aluminum and glass materials back of a smartphone on soft background featuring glossy glass back panel with reflective highlight, centered logo shape resembling a geometric icon, and minimalistic packaging with thin sans-serif typography, placed on a white reflective desk surface under with subtle rim light along edges, in realistic 3D visualization.",42,4,apple laptop
20,"A minimalist minimalist design language with centered logo placement sealed packaging showing clean brand placement featuring silver, graphite, and white tones suggesting luxury, glossy glass back panel with reflective highlight, and precise chamfered aluminum frame, placed inside a minimal product photo studio under under diffused soft light emphasizing reflections, in advertising shot for premium tech brand.",42,4,apple laptop
21,"A elegant matte metallic finish and clean symmetry back of a smartphone on soft background featuring centered logo shape resembling a geometric icon, symmetrical camera bump or lens area, and precise chamfered aluminum frame, placed on a white reflective desk surface under with soft side lighting to show curvature, in advertising shot for premium tech brand.",42,4,apple laptop
22,"A sleek premium consumer tech aesthetic with aluminum and glass materials back of a smartphone on soft background featuring minimalistic packaging with thin sans-serif typography, matte gray or blue finish hinting at premium device, and centered logo shape resembling a geometric icon, placed in clean workspace layout with neutral tones under with soft side lighting to show curvature, in high-detail studio product photo.",42,4,apple laptop
23,"A modern premium consumer tech aesthetic with aluminum and glass materials closed laptop lid with centered logo zone featuring silver, graphite, and white tones suggesting luxury, symmetrical camera bump or lens area, and matte gray or blue finish hinting at premium device, placed on a white reflective desk surface under with subtle rim light along edges, in high-detail studio product photo.",42,4,apple laptop
24,"A minimalist premium consumer tech aesthetic with aluminum and glass materials closed laptop lid with centered logo zone featuring symmetrical camera bump or lens area, matte gray or blue finish hinting at premium device, and smooth metallic texture and soft edges, placed in soft daylight near window shadows under with soft side lighting to show curvature, in commercial technology render.",42,4,apple laptop
25,"A minimalist minimalist design language with centered logo placement arrangement of premium devices viewed from above featuring precise chamfered aluminum frame, symmetrical camera bump or lens area, and glossy glass back panel with reflective highlight, placed inside a minimal product photo studio under with bright overhead illumination, in high-detail studio product photo.",42,4,apple laptop
26,"A modern matte metallic finish and clean symmetry closed laptop lid with centered logo zone featuring silver, graphite, and white tones suggesting luxury, centered logo shape resembling a geometric icon, and precise chamfered aluminum frame, placed in soft daylight near window shadows under with subtle rim light along edges, in realistic 3D visualization.",42,4,apple laptop
