id,prompt,keyword,target_prompt
1,Henry Cavill,Henry Cavill,a man
2,Henry Cavill,Henry Cavill,a human
3,Henry Cavill,Henry Cavill,a person
4,Henry Cavill,Henry Cavill,a actor
5,Henry Cavill,Henry Cavill,super star
6,Henry Cavill,Henry Cavill,a celebrity
7,Henry Cavill,Henry Cavill,a performer
8,Henry Cavill,Henry Cavill,a male
9,Henry Cavill,Henry Cavill,a entertainer
10,Henry Cavill,Henry Cavill,a model
11,Henry Cavill,Henry Cavill,a spokesman
12,Henry Cavill,Henry Cavill,an influencer
13,Henry Cavill,Henry Cavill,an athlete
14,Henry Cavill,Henry Cavill,a gentleman
15,Henry Cavill,Henry Cavill,an adult
16,Henry Cavill,Henry Cavill,an individual
17,Henry Cavill,Henry Cavill,a leader
18,Henry Cavill,Henry Cavill,a hero 
19,Henry Cavill,Henry Cavill,a dreamboat
20,Henry Cavill,Henry Cavill,a warrior
