ID,prompt,keyword,target_prompt
1,Cassette Player on the dusty shelf,Cassette Player,on the dusty shelf
2,Cassette Player resting on a wooden desk in the study,Cassette Player,resting on a wooden desk in the study
3,Cassette Player sitting next to a stack of vinyl records,Cassette Player,sitting next to a stack of vinyl records
4,Cassette Player placed beside an old radio in the living room,Cassette Player,placed beside an old radio in the living room
5,Cassette Player lying on the floor near a beanbag chair,Cassette Player,lying on the floor near a beanbag chair
6,Cassette Player next to a pile of mixtapes on the table,Cassette Player,next to a pile of mixtapes on the table
7,Cassette Player on the nightstand with headphones attached,Cassette Player,on the nightstand with headphones attached
8,Cassette Player on a classroom desk during a lecture,Cassette Player,on a classroom desk during a lecture
9,Cassette Player inside a teenager's messy bedroom,Cassette Player,inside a teenager's messy bedroom
10,Cassette Player on the car dashboard playing music,Cassette Player,on the car dashboard playing music
11,Cassette Player on the park bench with a backpack nearby,Cassette Player,on the park bench with a backpack nearby
12,Cassette Player sitting on the windowsill in the sun,Cassette Player,sitting on the windowsill in the sun
13,Cassette Player on the office shelf beside old books,Cassette Player,on the office shelf beside old books
14,Cassette Player resting on a picnic blanket in the park,Cassette Player,resting on a picnic blanket in the park
15,Cassette Player on the counter at a thrift store,Cassette Player,on the counter at a thrift store
16,Cassette Player on the stage floor during band practice,Cassette Player,on the stage floor during band practice
17,Cassette Player sitting next to a retro television set,Cassette Player,sitting next to a retro television set
18,Cassette Player resting on the teacher's desk in school,Cassette Player,resting on the teacher's desk in school
19,Cassette Player on the ground next to a skateboard,Cassette Player,on the ground next to a skateboard
20,Cassette Player placed beside candles in a dimly lit room,Cassette Player,placed beside candles in a dimly lit room
