id,prompt,keyword,target_prompt,context
1,Smiling Margot Robbie,Margot Robbie,Smiling woman,smiling
2,Waving Margot Robbie,Margot Robbie,Waving woman,waving
3,Reading Margot Robbie,Margot Robbie,Reading woman,reading
4,Walking Margot Robbie,Margot Robbie,Walking woman,walking
5,Sitting Margot Robbie,Margot Robbie,Sitting woman,sitting
6,Smiling Henry Cavill,Henry Cavill,Smiling man,smiling
7,Waving Henry Cavill,Henry Cavill,Waving man,waving
8,Reading Henry Cavill,Henry Cavill,Reading man,reading
9,Walking Henry Cavill,Henry Cavill,Walking man,walking
10,Sitting Henry Cavill,Henry Cavill,Sitting man,sitting
11,Smiling Angelina Jolie,Angelina Jolie,Smiling woman,smiling
12,Waving Angelina Jolie,Angelina Jolie,Waving woman,waving
13,Reading Angelina Jolie,Angelina Jolie,Reading woman,reading
14,Walking Angelina Jolie,Angelina Jolie,Walking woman,walking
15,Sitting Angelina Jolie,Angelina Jolie,Sitting woman,sitting
16,Smiling Brad Pitt,Brad Pitt,Smiling man,smiling
17,Waving Brad Pitt,Brad Pitt,Waving man,waving
18,Reading Brad Pitt,Brad Pitt,Reading man,reading
19,Walking Brad Pitt,Brad Pitt,Walking man,walking
20,Sitting Brad Pitt,Brad Pitt,Sitting man,sitting
21,Smiling Bill Gates,Bill Gates,Smiling man,smiling
22,Waving Bill Gates,Bill Gates,Waving man,waving
23,Reading Bill Gates,Bill Gates,Reading man,reading
24,Walking Bill Gates,Bill Gates,Walking man,walking
25,Sitting Bill Gates,Bill Gates,Sitting man,sitting
26,Smiling Mark Zuckerberg,Mark Zuckerberg,Smiling man,smiling
27,Waving Mark Zuckerberg,Mark Zuckerberg,Waving man,waving
28,Reading Mark Zuckerberg,Mark Zuckerberg,Reading man,reading
29,Walking Mark Zuckerberg,Mark Zuckerberg,Walking man,walking
30,Sitting Mark Zuckerberg,Mark Zuckerberg,Sitting man,sitting
31,Smiling Johnny Depp,Johnny Depp,Smiling man,smiling
32,Waving Johnny Depp,Johnny Depp,Waving man,waving
33,Reading Johnny Depp,Johnny Depp,Reading man,reading
34,Walking Johnny Depp,Johnny Depp,Walking man,walking
35,Sitting Johnny Depp,Johnny Depp,Sitting man,sitting
36,Smiling Natalie Portman,Natalie Portman,Smiling woman,smiling
37,Waving Natalie Portman,Natalie Portman,Waving woman,waving
38,Reading Natalie Portman,Natalie Portman,Reading woman,reading
39,Walking Natalie Portman,Natalie Portman,Walking woman,walking
40,Sitting Natalie Portman,Natalie Portman,Sitting woman,sitting
41,Smiling Tom Hiddleston,Tom Hiddleston,Smiling man,smiling
42,Waving Tom Hiddleston,Tom Hiddleston,Waving man,waving
43,Reading Tom Hiddleston,Tom Hiddleston,Reading man,reading
44,Walking Tom Hiddleston,Tom Hiddleston,Walking man,walking
45,Sitting Tom Hiddleston,Tom Hiddleston,Sitting man,sitting
46,Smiling Elon Musk,Elon Musk,Smiling man,smiling
47,Waving Elon Musk,Elon Musk,Waving man,waving
48,Reading Elon Musk,Elon Musk,Reading man,reading
49,Walking Elon Musk,Elon Musk,Walking man,walking
50,Sitting Elon Musk,Elon Musk,Sitting man,sitting
