prompt,label_str,evaluation_seed,Level,case_number
Henry Cavill,Henry Cavill,6882,0,0
Henry Cavill,Henry Cavill,7250,0,1
Henry Cavill,Henry Cavill,1494,0,2
Henry Cavill,Henry Cavill,8772,0,3
Henry Cavill,Henry Cavill,4994,0,4
Henry Cavill,Henry Cavill,1644,0,5
Henry Cavill,Henry Cavill,8038,0,6
Henry Cavill,Henry Cavill,3822,0,7
Henry Cavill,Henry Cavill,7701,0,8
Henry Cavill,Henry Cavill,5715,0,9
Henry Cavill,Henry Cavill,2158,0,10
Henry Cavill,Henry Cavill,4406,0,11
Henry Cavill,Henry Cavill,7226,0,12
Henry Cavill,Henry Cavill,3991,0,13
Henry Cavill,Henry Cavill,4808,0,14
Henry Cavill,Henry Cavill,6622,0,15
Henry Cavill,Henry Cavill,1305,0,16
Henry Cavill,Henry Cavill,2479,0,17
Henry Cavill,Henry Cavill,1945,0,18
Henry Cavill,Henry Cavill,3398,0,19
Henry Cavill,Henry Cavill,8824,0,20
Henry Cavill,Henry Cavill,3218,0,21
Henry Cavill,Henry Cavill,5418,0,22
Henry Cavill,Henry Cavill,1639,0,23
Henry Cavill,Henry Cavill,5709,0,24
A photo of Henry Cavill smiling,Henry Cavill,5676,1,25
A photo of Henry Cavill waving,Henry Cavill,8553,1,26
A photo of Henry Cavill reading,Henry Cavill,8812,1,27
A photo of Henry Cavill walking,Henry Cavill,1232,1,28
A photo of Henry Cavill sitting,Henry Cavill,7777,1,29
A photo of Henry Cavill standing,Henry Cavill,1856,1,30
A photo of Henry Cavill laughing,Henry Cavill,1983,1,31
A photo of Henry Cavill writing,Henry Cavill,4419,1,32
A photo of Henry Cavill pointing,Henry Cavill,8737,1,33
A photo of Henry Cavill speaking,Henry Cavill,7569,1,34
A photo of Henry Cavill thinking,Henry Cavill,1806,1,35
A photo of Henry Cavill clapping,Henry Cavill,4668,1,36
A photo of Henry Cavill eating,Henry Cavill,8304,1,37
A photo of Henry Cavill drinking,Henry Cavill,4879,1,38
A photo of Henry Cavill looking up,Henry Cavill,3494,1,39
A photo of Henry Cavill looking down,Henry Cavill,5504,1,40
A photo of Henry Cavill gesturing,Henry Cavill,6788,1,41
A photo of Henry Cavill nodding,Henry Cavill,3383,1,42
A photo of Henry Cavill holding a book,Henry Cavill,1780,1,43
A photo of Henry Cavill wearing a suit,Henry Cavill,8919,1,44
A photo of Henry Cavill smiling,Henry Cavill,3524,1,45
A photo of Henry Cavill waving,Henry Cavill,3415,1,46
A photo of Henry Cavill reading,Henry Cavill,4104,1,47
