id,prompt,keyword,target_prompt,preserved_concept
1,Smiling Henry Cavill,Henry Cavill,smiling man,man
2,Waving Henry Cavill,Henry Cavill,waving man,man
3,Reading Henry Cavill,Henry Cavill,reading man,man
4,Walking Henry Cavill,Henry Cavill,walking man,man
5,Sitting Henry Cavill,Henry Cavill,sitting man,man
6,Standing Henry Cavill,Henry Cavill,standing man,man
7,Laughing Henry Cavill,Henry Cavill,laughing man,man
8,Writing Henry Cavill,Henry Cavill,writing man,man
9,Pointing Henry Cavill,Henry Cavill,pointing man,man
10,Speaking Henry Cavill,Henry Cavill,speaking man,man
11,Thinking Henry Cavill,Henry Cavill,thinking man,man
12,Clapping Henry Cavill,Henry Cavill,clapping man,man
13,Eating Henry Cavill,Henry Cavill,eating man,man
14,Drinking Henry Cavill,Henry Cavill,drinking man,man
15,Looking up Henry Cavill,Henry Cavill,looking up man,man
16,Looking down Henry Cavill,Henry Cavill,looking down man,man
17,Gesturing Henry Cavill,Henry Cavill,gesturing man,man
18,Nodding Henry Cavill,Henry Cavill,nodding man,man
19,Holding a book Henry Cavill,Henry Cavill,holding a book man,man
20,Wearing a suit Henry Cavill,Henry Cavill,wearing a suit man,man
