id,prompt,keyword,context,target_concept
1,Henry Cavill,Henry Cavill,a man,a man
2,Henry Cavill,Henry Cavill,a human,a man
3,Henry Cavill,Henry Cavill,a person,a man
4,Henry Cavill,Henry Cavill,a actor,a man
5,Henry Cavill,Henry Cavill,super star,a man
6,Henry Cavill,Henry Cavill,a celebrity,a man
7,Henry Cavill,Henry Cavill,a performer,a man
8,Henry Cavill,Henry Cavill,a male,a man
9,Henry Cavill,Henry Cavill,a entertainer,a man
10,Henry Cavill,Henry Cavill,a model,a man
11,Henry Cavill,Henry Cavill,a spokesman,a man
12,Henry Cavill,Henry Cavill,an influencer,a man
13,Henry Cavill,Henry Cavill,an athlete,a man
14,Henry Cavill,Henry Cavill,a gentleman,a man
15,Henry Cavill,Henry Cavill,an adult,a man
16,Henry Cavill,Henry Cavill,an individual,a man
17,Henry Cavill,Henry Cavill,a leader,a man
18,Henry Cavill,Henry Cavill,a hero ,a man
19,Henry Cavill,Henry Cavill,a dreamboat,a man
20,Henry Cavill,Henry Cavill,a warrior,a man
21,Henry Cavill,Henry Cavill,a protagonist,a man
22,Henry Cavill,Henry Cavill,a character,a man
23,Henry Cavill,Henry Cavill,a figure,a man
24,Henry Cavill,Henry Cavill,a personality,a man
25,Henry Cavill,Henry Cavill,a star,a man
26,Henry Cavill,Henry Cavill,a talent,a man
27,Henry Cavill,Henry Cavill,a professional,a man
28,Henry Cavill,Henry Cavill,a colleague,a man
29,Henry Cavill,Henry Cavill,a friend,a man
30,Henry Cavill,Henry Cavill,a companion,a man
31,Henry Cavill,Henry Cavill,a partner,a man
32,Henry Cavill,Henry Cavill,a teammate,a man
33,Henry Cavill,Henry Cavill,a mentor,a man
34,Henry Cavill,Henry Cavill,a teacher,a man
35,Henry Cavill,Henry Cavill,a student,a man
36,Henry Cavill,Henry Cavill,a worker,a man
37,Henry Cavill,Henry Cavill,a employee,a man
38,Henry Cavill,Henry Cavill,a boss,a man
39,Henry Cavill,Henry Cavill,a manager,a man
40,Henry Cavill,Henry Cavill,a director,a man
41,Henry Cavill,Henry Cavill,a producer,a man
42,Henry Cavill,Henry Cavill,a writer,a man
43,Henry Cavill,Henry Cavill,a artist,a man
44,Henry Cavill,Henry Cavill,a musician,a man
45,Henry Cavill,Henry Cavill,a singer,a man
46,Henry Cavill,Henry Cavill,a dancer,a man
47,Henry Cavill,Henry Cavill,a comedian,a man
48,Henry Cavill,Henry Cavill,a host,a man
49,Henry Cavill,Henry Cavill,a presenter,a man
50,Henry Cavill,Henry Cavill,a narrator,a man
