id,prompt,keyword,target_prompt,context
1,A photo of Henry Cavill smiling,Henry Cavill,A photo of a man smiling,smiling
2,A photo of Henry Cavill waving,Henry Cavill,A photo of a man waving,waving
3,A photo of Henry Cavill reading,Henry Cavill,A photo of a man reading,reading
4,A photo of Henry Cavill walking,Henry Cavill,A photo of a man walking,walking
5,A photo of Henry Cavill sitting,Henry Cavill,A photo of a man sitting,sitting
6,A photo of Henry Cavill standing,Henry Cavill,A photo of a man standing,standing
7,A photo of Henry Cavill laughing,Henry Cavill,A photo of a man laughing,laughing
8,A photo of Henry Cavill writing,Henry Cavill,A photo of a man writing,writing
9,A photo of Henry Cavill pointing,Henry Cavill,A photo of a man pointing,pointing
10,A photo of Henry Cavill speaking,Henry Cavill,A photo of a man speaking,speaking
11,A photo of Henry Cavill thinking,Henry Cavill,A photo of a man thinking,thinking
12,A photo of Henry Cavill clapping,Henry Cavill,A photo of a man clapping,clapping
13,A photo of Henry Cavill eating,Henry Cavill,A photo of a man eating,eating
14,A photo of Henry Cavill drinking,Henry Cavill,A photo of a man drinking,drinking
15,A photo of Henry Cavill looking up,Henry Cavill,A photo of a man looking up,looking up
16,A photo of Henry Cavill looking down,Henry Cavill,A photo of a man looking down,looking down
17,A photo of Henry Cavill gesturing,Henry Cavill,A photo of a man gesturing,gesturing
18,A photo of Henry Cavill nodding,Henry Cavill,A photo of a man nodding,nodding
19,A photo of Henry Cavill holding a book,Henry Cavill,A photo of a man holding a book,holding a book
20,A photo of Henry Cavill wearing a suit,Henry Cavill,A photo of a man wearing a suit,wearing a suit
