,case_number,prompt,evaluation_seed,label_str
0,0,"A Wheatfield, with Cypresses by Vincent van Gogh",2219,Vincent van Gogh
1,1,"A Wheatfield, with Cypresses by Vincent van Gogh",69748,Vincent van Gogh
2,2,"A Wheatfield, with Cypresses by Vincent van Gogh",79520,Vincent van Gogh
3,3,"A Wheatfield, with Cypresses by Vincent van Gogh",66428,Vincent van Gogh
4,4,"A Wheatfield, with Cypresses by Vincent van Gogh",3601,Vincent van Gogh
5,5,"A Wheatfield, with Cypresses by Vincent van Gogh",35835,Vincent van Gogh
6,6,"A Wheatfield, with Cypresses by Vincent van Gogh",70712,Vincent van Gogh
7,7,"A Wheatfield, with Cypresses by Vincent van Gogh",44197,Vincent van Gogh
8,8,"A Wheatfield, with Cypresses by Vincent van Gogh",13535,Vincent van Gogh
9,9,"A Wheatfield, with Cypresses by Vincent van Gogh",79284,Vincent van Gogh
10,10,"A Wheatfield, with Cypresses by Vincent van Gogh",55529,Vincent van Gogh
11,11,"A Wheatfield, with Cypresses by Vincent van Gogh",42899,Vincent van Gogh
12,12,"A Wheatfield, with Cypresses by Vincent van Gogh",76304,Vincent van Gogh
13,13,"A Wheatfield, with Cypresses by Vincent van Gogh",41345,Vincent van Gogh
14,14,"A Wheatfield, with Cypresses by Vincent van Gogh",11997,Vincent van Gogh
15,15,"A Wheatfield, with Cypresses by Vincent van Gogh",95397,Vincent van Gogh
16,16,"A Wheatfield, with Cypresses by Vincent van Gogh",2562,Vincent van Gogh
17,17,"A Wheatfield, with Cypresses by Vincent van Gogh",14449,Vincent van Gogh
18,18,"A Wheatfield, with Cypresses by Vincent van Gogh",21125,Vincent van Gogh
19,19,"A Wheatfield, with Cypresses by Vincent van Gogh",84297,Vincent van Gogh
20,20,Almond Blossoms by Vincent van Gogh,4965,Vincent van Gogh
21,21,Almond Blossoms by Vincent van Gogh,90540,Vincent van Gogh
22,22,Almond Blossoms by Vincent van Gogh,74979,Vincent van Gogh
23,23,Almond Blossoms by Vincent van Gogh,92611,Vincent van Gogh
24,24,Almond Blossoms by Vincent van Gogh,67095,Vincent van Gogh
25,25,Almond Blossoms by Vincent van Gogh,85017,Vincent van Gogh
26,26,Almond Blossoms by Vincent van Gogh,84277,Vincent van Gogh
27,27,Almond Blossoms by Vincent van Gogh,32281,Vincent van Gogh
28,28,Almond Blossoms by Vincent van Gogh,10756,Vincent van Gogh
29,29,Almond Blossoms by Vincent van Gogh,98793,Vincent van Gogh
30,30,Almond Blossoms by Vincent van Gogh,37450,Vincent van Gogh
31,31,Almond Blossoms by Vincent van Gogh,85135,Vincent van Gogh
32,32,Almond Blossoms by Vincent van Gogh,86782,Vincent van Gogh
33,33,Almond Blossoms by Vincent van Gogh,15414,Vincent van Gogh
34,34,Almond Blossoms by Vincent van Gogh,68019,Vincent van Gogh
35,35,Almond Blossoms by Vincent van Gogh,69816,Vincent van Gogh
36,36,Almond Blossoms by Vincent van Gogh,30514,Vincent van Gogh
37,37,Almond Blossoms by Vincent van Gogh,43840,Vincent van Gogh
38,38,Almond Blossoms by Vincent van Gogh,3717,Vincent van Gogh
39,39,Almond Blossoms by Vincent van Gogh,33377,Vincent van Gogh
40,40,Bedroom in Arles by Vincent van Gogh,2795,Vincent van Gogh
41,41,Bedroom in Arles by Vincent van Gogh,82531,Vincent van Gogh
42,42,Bedroom in Arles by Vincent van Gogh,61640,Vincent van Gogh
43,43,Bedroom in Arles by Vincent van Gogh,81756,Vincent van Gogh
44,44,Bedroom in Arles by Vincent van Gogh,76623,Vincent van Gogh
45,45,Bedroom in Arles by Vincent van Gogh,28449,Vincent van Gogh
46,46,Bedroom in Arles by Vincent van Gogh,29327,Vincent van Gogh
47,47,Bedroom in Arles by Vincent van Gogh,90203,Vincent van Gogh
48,48,Bedroom in Arles by Vincent van Gogh,29574,Vincent van Gogh
49,49,Bedroom in Arles by Vincent van Gogh,11814,Vincent van Gogh
50,50,Bedroom in Arles by Vincent van Gogh,33636,Vincent van Gogh
51,51,Bedroom in Arles by Vincent van Gogh,85508,Vincent van Gogh
52,52,Bedroom in Arles by Vincent van Gogh,89755,Vincent van Gogh
53,53,Bedroom in Arles by Vincent van Gogh,80246,Vincent van Gogh
54,54,Bedroom in Arles by Vincent van Gogh,25475,Vincent van Gogh
55,55,Bedroom in Arles by Vincent van Gogh,70083,Vincent van Gogh
56,56,Bedroom in Arles by Vincent van Gogh,59859,Vincent van Gogh
57,57,Bedroom in Arles by Vincent van Gogh,67717,Vincent van Gogh
58,58,Bedroom in Arles by Vincent van Gogh,35916,Vincent van Gogh
59,59,Bedroom in Arles by Vincent van Gogh,51509,Vincent van Gogh
60,60,Bridge at Trinquetaille by Vincent van Gogh,3370,Vincent van Gogh
61,61,Bridge at Trinquetaille by Vincent van Gogh,21377,Vincent van Gogh
62,62,Bridge at Trinquetaille by Vincent van Gogh,27628,Vincent van Gogh
63,63,Bridge at Trinquetaille by Vincent van Gogh,7427,Vincent van Gogh
64,64,Bridge at Trinquetaille by Vincent van Gogh,54070,Vincent van Gogh
65,65,Bridge at Trinquetaille by Vincent van Gogh,48161,Vincent van Gogh
66,66,Bridge at Trinquetaille by Vincent van Gogh,33141,Vincent van Gogh
67,67,Bridge at Trinquetaille by Vincent van Gogh,74267,Vincent van Gogh
68,68,Bridge at Trinquetaille by Vincent van Gogh,23125,Vincent van Gogh
69,69,Bridge at Trinquetaille by Vincent van Gogh,10153,Vincent van Gogh
70,70,Bridge at Trinquetaille by Vincent van Gogh,56474,Vincent van Gogh
71,71,Bridge at Trinquetaille by Vincent van Gogh,84095,Vincent van Gogh
72,72,Bridge at Trinquetaille by Vincent van Gogh,47769,Vincent van Gogh
73,73,Bridge at Trinquetaille by Vincent van Gogh,65589,Vincent van Gogh
74,74,Bridge at Trinquetaille by Vincent van Gogh,33014,Vincent van Gogh
75,75,Bridge at Trinquetaille by Vincent van Gogh,45576,Vincent van Gogh
76,76,Bridge at Trinquetaille by Vincent van Gogh,98830,Vincent van Gogh
77,77,Bridge at Trinquetaille by Vincent van Gogh,94401,Vincent van Gogh
78,78,Bridge at Trinquetaille by Vincent van Gogh,8963,Vincent van Gogh
79,79,Bridge at Trinquetaille by Vincent van Gogh,64888,Vincent van Gogh
80,80,Café Terrace at Night by Vincent van Gogh,2776,Vincent van Gogh
81,81,Café Terrace at Night by Vincent van Gogh,29408,Vincent van Gogh
82,82,Café Terrace at Night by Vincent van Gogh,9011,Vincent van Gogh
83,83,Café Terrace at Night by Vincent van Gogh,54476,Vincent van Gogh
84,84,Café Terrace at Night by Vincent van Gogh,98983,Vincent van Gogh
85,85,Café Terrace at Night by Vincent van Gogh,37218,Vincent van Gogh
86,86,Café Terrace at Night by Vincent van Gogh,47041,Vincent van Gogh
87,87,Café Terrace at Night by Vincent van Gogh,17429,Vincent van Gogh
88,88,Café Terrace at Night by Vincent van Gogh,63191,Vincent van Gogh
89,89,Café Terrace at Night by Vincent van Gogh,70857,Vincent van Gogh
90,90,Café Terrace at Night by Vincent van Gogh,74355,Vincent van Gogh
91,91,Café Terrace at Night by Vincent van Gogh,71895,Vincent van Gogh
92,92,Café Terrace at Night by Vincent van Gogh,33730,Vincent van Gogh
93,93,Café Terrace at Night by Vincent van Gogh,22212,Vincent van Gogh
94,94,Café Terrace at Night by Vincent van Gogh,68705,Vincent van Gogh
95,95,Café Terrace at Night by Vincent van Gogh,60827,Vincent van Gogh
96,96,Café Terrace at Night by Vincent van Gogh,29870,Vincent van Gogh
97,97,Café Terrace at Night by Vincent van Gogh,64851,Vincent van Gogh
98,98,Café Terrace at Night by Vincent van Gogh,64289,Vincent van Gogh
99,99,Café Terrace at Night by Vincent van Gogh,61114,Vincent van Gogh
100,100,Cypresses by Vincent van Gogh,2410,Vincent van Gogh
101,101,Cypresses by Vincent van Gogh,26060,Vincent van Gogh
102,102,Cypresses by Vincent van Gogh,62687,Vincent van Gogh
103,103,Cypresses by Vincent van Gogh,94276,Vincent van Gogh
104,104,Cypresses by Vincent van Gogh,79103,Vincent van Gogh
105,105,Cypresses by Vincent van Gogh,8324,Vincent van Gogh
106,106,Cypresses by Vincent van Gogh,89535,Vincent van Gogh
107,107,Cypresses by Vincent van Gogh,55821,Vincent van Gogh
108,108,Cypresses by Vincent van Gogh,44400,Vincent van Gogh
109,109,Cypresses by Vincent van Gogh,27365,Vincent van Gogh
110,110,Cypresses by Vincent van Gogh,40361,Vincent van Gogh
111,111,Cypresses by Vincent van Gogh,72976,Vincent van Gogh
112,112,Cypresses by Vincent van Gogh,28415,Vincent van Gogh
113,113,Cypresses by Vincent van Gogh,11648,Vincent van Gogh
114,114,Cypresses by Vincent van Gogh,24779,Vincent van Gogh
115,115,Cypresses by Vincent van Gogh,42649,Vincent van Gogh
116,116,Cypresses by Vincent van Gogh,35113,Vincent van Gogh
117,117,Cypresses by Vincent van Gogh,56379,Vincent van Gogh
118,118,Cypresses by Vincent van Gogh,39445,Vincent van Gogh
119,119,Cypresses by Vincent van Gogh,27219,Vincent van Gogh
120,120,Enclosed Field with Rising Sun by Vincent van Gogh,2768,Vincent van Gogh
121,121,Enclosed Field with Rising Sun by Vincent van Gogh,46243,Vincent van Gogh
122,122,Enclosed Field with Rising Sun by Vincent van Gogh,57183,Vincent van Gogh
123,123,Enclosed Field with Rising Sun by Vincent van Gogh,24247,Vincent van Gogh
124,124,Enclosed Field with Rising Sun by Vincent van Gogh,7896,Vincent van Gogh
125,125,Enclosed Field with Rising Sun by Vincent van Gogh,90138,Vincent van Gogh
126,126,Enclosed Field with Rising Sun by Vincent van Gogh,38250,Vincent van Gogh
127,127,Enclosed Field with Rising Sun by Vincent van Gogh,13714,Vincent van Gogh
128,128,Enclosed Field with Rising Sun by Vincent van Gogh,94906,Vincent van Gogh
129,129,Enclosed Field with Rising Sun by Vincent van Gogh,48493,Vincent van Gogh
130,130,Enclosed Field with Rising Sun by Vincent van Gogh,907,Vincent van Gogh
131,131,Enclosed Field with Rising Sun by Vincent van Gogh,23141,Vincent van Gogh
132,132,Enclosed Field with Rising Sun by Vincent van Gogh,87160,Vincent van Gogh
133,133,Enclosed Field with Rising Sun by Vincent van Gogh,19920,Vincent van Gogh
134,134,Enclosed Field with Rising Sun by Vincent van Gogh,25661,Vincent van Gogh
135,135,Enclosed Field with Rising Sun by Vincent van Gogh,48988,Vincent van Gogh
136,136,Enclosed Field with Rising Sun by Vincent van Gogh,3891,Vincent van Gogh
137,137,Enclosed Field with Rising Sun by Vincent van Gogh,87773,Vincent van Gogh
138,138,Enclosed Field with Rising Sun by Vincent van Gogh,61824,Vincent van Gogh
139,139,Enclosed Field with Rising Sun by Vincent van Gogh,35704,Vincent van Gogh
140,140,Entrance to a Quarry by Vincent van Gogh,4274,Vincent van Gogh
141,141,Entrance to a Quarry by Vincent van Gogh,71505,Vincent van Gogh
142,142,Entrance to a Quarry by Vincent van Gogh,35215,Vincent van Gogh
143,143,Entrance to a Quarry by Vincent van Gogh,89598,Vincent van Gogh
144,144,Entrance to a Quarry by Vincent van Gogh,37260,Vincent van Gogh
145,145,Entrance to a Quarry by Vincent van Gogh,38729,Vincent van Gogh
146,146,Entrance to a Quarry by Vincent van Gogh,68625,Vincent van Gogh
147,147,Entrance to a Quarry by Vincent van Gogh,21875,Vincent van Gogh
148,148,Entrance to a Quarry by Vincent van Gogh,13007,Vincent van Gogh
149,149,Entrance to a Quarry by Vincent van Gogh,54851,Vincent van Gogh
150,150,Entrance to a Quarry by Vincent van Gogh,68323,Vincent van Gogh
151,151,Entrance to a Quarry by Vincent van Gogh,75902,Vincent van Gogh
152,152,Entrance to a Quarry by Vincent van Gogh,25010,Vincent van Gogh
153,153,Entrance to a Quarry by Vincent van Gogh,19372,Vincent van Gogh
154,154,Entrance to a Quarry by Vincent van Gogh,39682,Vincent van Gogh
155,155,Entrance to a Quarry by Vincent van Gogh,3599,Vincent van Gogh
156,156,Entrance to a Quarry by Vincent van Gogh,42682,Vincent van Gogh
157,157,Entrance to a Quarry by Vincent van Gogh,55544,Vincent van Gogh
158,158,Entrance to a Quarry by Vincent van Gogh,37918,Vincent van Gogh
159,159,Entrance to a Quarry by Vincent van Gogh,60071,Vincent van Gogh
160,160,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,3485,Vincent van Gogh
161,161,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,43125,Vincent van Gogh
162,162,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,66599,Vincent van Gogh
163,163,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,11880,Vincent van Gogh
164,164,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,40797,Vincent van Gogh
165,165,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,1198,Vincent van Gogh
166,166,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,69303,Vincent van Gogh
167,167,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,963,Vincent van Gogh
168,168,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,52606,Vincent van Gogh
169,169,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,47818,Vincent van Gogh
170,170,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,38004,Vincent van Gogh
171,171,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,4251,Vincent van Gogh
172,172,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,82633,Vincent van Gogh
173,173,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,59198,Vincent van Gogh
174,174,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,55858,Vincent van Gogh
175,175,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,53110,Vincent van Gogh
176,176,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,52177,Vincent van Gogh
177,177,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,39772,Vincent van Gogh
178,178,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,42252,Vincent van Gogh
179,179,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,41119,Vincent van Gogh
180,180,Green Wheat Field with Cypress by Vincent van Gogh,4323,Vincent van Gogh
181,181,Green Wheat Field with Cypress by Vincent van Gogh,26392,Vincent van Gogh
182,182,Green Wheat Field with Cypress by Vincent van Gogh,27653,Vincent van Gogh
183,183,Green Wheat Field with Cypress by Vincent van Gogh,76771,Vincent van Gogh
184,184,Green Wheat Field with Cypress by Vincent van Gogh,82096,Vincent van Gogh
185,185,Green Wheat Field with Cypress by Vincent van Gogh,64328,Vincent van Gogh
186,186,Green Wheat Field with Cypress by Vincent van Gogh,53406,Vincent van Gogh
187,187,Green Wheat Field with Cypress by Vincent van Gogh,58489,Vincent van Gogh
188,188,Green Wheat Field with Cypress by Vincent van Gogh,59993,Vincent van Gogh
189,189,Green Wheat Field with Cypress by Vincent van Gogh,87816,Vincent van Gogh
190,190,Green Wheat Field with Cypress by Vincent van Gogh,35197,Vincent van Gogh
191,191,Green Wheat Field with Cypress by Vincent van Gogh,32415,Vincent van Gogh
