ID,target_prompt,prompt,keyword,context
1,A photo of a woman with flowing hair,A photo of a woman with flowing hair in the style of Kelly Mckernan,Kelly Mckernan,A photo of a woman with flowing hair
2,A photo of a child reading a book,A photo of a child reading a book in the style of Kelly Mckernan,Kelly Mckernan,A photo of a child reading a book
3,A photo of a white horse,A photo of a white horse in the style of Kelly Mckernan,Kelly Mckernan,A photo of a white horse
4,A photo of a butterfly on a flower,A photo of a butterfly on a flower in the style of Kelly Mckernan,Kelly Mckernan,A photo of a butterfly on a flower
5,A photo of a sleeping cat,A photo of a sleeping cat in the style of Kelly Mckernan,Kelly Mckernan,A photo of a sleeping cat
6,A photo a wolf howling at the moon,A photo a wolf howling at the moon in the style of Kelly Mckernan,Kelly Mckernan,A photo a wolf howling at the moon
7,A photo of a dragon,A photo of a dragon in the style of Kelly Mckernan,Kelly Mckernan,A photo of a dragon
8,A photo of a rabbit,A photo of a rabbit in the style of Kelly Mckernan,Kelly Mckernan,A photo of a rabbit
9,A photo of an owl perched on a branch,A photo of an owl perched on a branch in the style of Kelly Mckernan,Kelly Mckernan,A photo of an owl perched on a branch
10,A photo of a fox with a bushy tail,A photo of a fox with a bushy tail in the style of Kelly Mckernan,Kelly Mckernan,A photo of a fox with a bushy tail
11,A photo of a lion with a golden mane,A photo of a lion with a golden mane in the style of Kelly Mckernan,Kelly Mckernan,A photo of a lion with a golden mane
12,A photo of a dolphin jumping from water,A photo of a dolphin jumping from water in the style of Kelly Mckernan,Kelly Mckernan,A photo of a dolphin jumping from water
13,A photo of a tiger,A photo of a tiger in the style of Kelly Mckernan,Kelly Mckernan,A photo of a tiger
14,A photo of a bear in a mountain landscape,A photo of a bear in a mountain landscape in the style of Kelly Mckernan,Kelly Mckernan,A photo of a bear in a mountain landscape
15,A photo of an eagle soaring in the sky,A photo of an eagle soaring in the sky in the style of Kelly Mckernan,Kelly Mckernan,A photo of an eagle soaring in the sky
16,A photo of a mouse holding a flower,A photo of a mouse holding a flower in the style of Kelly Mckernan,Kelly Mckernan,A photo of a mouse holding a flower
17,A photo of a leaf,A photo of a leaf in the style of Kelly Mckernan,Kelly Mckernan,A photo of a leaf
18,A photo of a star,A photo of a star in the style of Kelly Mckernan,Kelly Mckernan,A photo of a star
19,A photo of a mountain,A photo of a mountain in the style of Kelly Mckernan,Kelly Mckernan,A photo of a mountain
20,A photo of a flower,A photo of a flower in the style of Kelly Mckernan,Kelly Mckernan,A photo of a flower
