,case_number,prompt,evaluation_seed,label_str
0,0,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",1597,Kelly Mckernan
1,1,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",55258,Kelly Mckernan
2,2,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",44024,Kelly Mckernan
3,3,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",15562,Kelly Mckernan
4,4,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",33988,Kelly Mckernan
5,5,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",89070,Kelly Mckernan
6,6,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",22162,Kelly Mckernan
7,7,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",3445,Kelly Mckernan
8,8,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",5521,Kelly Mckernan
9,9,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",25228,Kelly Mckernan
10,10,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",96291,Kelly Mckernan
11,11,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",6273,Kelly Mckernan
12,12,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",8050,Kelly Mckernan
13,13,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",45717,Kelly Mckernan
14,14,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",41181,Kelly Mckernan
15,15,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",24386,Kelly Mckernan
16,16,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",23178,Kelly Mckernan
17,17,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",45259,Kelly Mckernan
18,18,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",76500,Kelly Mckernan
19,19,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",28845,Kelly Mckernan
20,20,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",85834,Kelly Mckernan
21,21,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",83260,Kelly Mckernan
22,22,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",45077,Kelly Mckernan
23,23,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",23223,Kelly Mckernan
24,24,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",35299,Kelly Mckernan
25,25,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",67482,Kelly Mckernan
26,26,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",80389,Kelly Mckernan
27,27,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",35085,Kelly Mckernan
28,28,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",78795,Kelly Mckernan
29,29,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",73778,Kelly Mckernan
30,30,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",44054,Kelly Mckernan
31,31,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",27672,Kelly Mckernan
32,32,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",72805,Kelly Mckernan
33,33,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",6932,Kelly Mckernan
34,34,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",430,Kelly Mckernan
35,35,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",43916,Kelly Mckernan
