case_number,prompt,evaluation_seed,level,label_str
0,"A cinematic luxury airline aesthetic with white fuselage and gold or red accents aircraft landing with flaps extended and side lighting showing clean white airplane body with flag near rear section, reflective fuselage with sunlight highlights, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in advertising-style airline image.",42,4,apple laptop
1,"A sleek global aviation brand look with elegant tail fin graphics jet taking off with side profile view and heat haze showing detailed landing gear and undercarriage lighting, blue and gold horizontal stripe along fuselage, and gold and red tail fin with smooth typography, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in advertising-style airline image.",42,4,apple laptop
2,"A sleek premium Asian carrier style with dark blue and gold stripe pattern jet taking off with side profile view and heat haze showing luxury airline logo area near cockpit and tail, large engines with polished metal details, and clean white airplane body with flag near rear section, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in advertising-style airline image.",42,4,apple laptop
3,"A sleek global aviation brand look with elegant tail fin graphics airliner flying mid-air with visible wings and tail showing blue and gold horizontal stripe along fuselage, large engines with polished metal details, and clean white airplane body with flag near rear section, captured taxiing on Singapore airport runway with tropical background under under bright daylight with clear shadows, in aviation photography aesthetic.",42,4,apple laptop
4,"A realistic premium Asian carrier style with dark blue and gold stripe pattern airliner taxiing on tarmac with visible tail and engines showing clean white airplane body with flag near rear section, reflective fuselage with sunlight highlights, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under under bright daylight with clear shadows, in high-detail aircraft spotting photo.",42,4,apple laptop
5,"A majestic luxury airline aesthetic with white fuselage and gold or red accents jet taking off with side profile view and heat haze showing detailed landing gear and undercarriage lighting, gold and red tail fin with smooth typography, and blue and gold horizontal stripe along fuselage, captured parked on Dubai airport apron with desert backdrop under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",42,4,apple laptop
6,"A aerodynamic premium Asian carrier style with dark blue and gold stripe pattern airliner flying mid-air with visible wings and tail showing clean white airplane body with flag near rear section, luxury airline logo area near cockpit and tail, and gold and red tail fin with smooth typography, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in high-detail aircraft spotting photo.",42,4,apple laptop
7,"A majestic international airline livery featuring smooth curves and metallic shine airliner flying mid-air with visible wings and tail showing luxury airline logo area near cockpit and tail, detailed landing gear and undercarriage lighting, and clean white airplane body with flag near rear section, captured taxiing on Singapore airport runway with tropical background under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",42,4,apple laptop
8,"A dynamic luxury airline aesthetic with white fuselage and gold or red accents airliner flying mid-air with visible wings and tail showing luxury airline logo area near cockpit and tail, gold and red tail fin with smooth typography, and blue and gold horizontal stripe along fuselage, captured parked on Dubai airport apron with desert backdrop under under diffused cloudy sky, in aviation photography aesthetic.",42,4,apple laptop
9,"A majestic luxury airline aesthetic with white fuselage and gold or red accents aircraft landing with flaps extended and side lighting showing clean white airplane body with flag near rear section, large engines with polished metal details, and luxury airline logo area near cockpit and tail, captured taxiing on Singapore airport runway with tropical background under under bright daylight with clear shadows, in high-detail aircraft spotting photo.",42,4,apple laptop
10,"A realistic global aviation brand look with elegant tail fin graphics aircraft landing with flaps extended and side lighting showing large engines with polished metal details, clean white airplane body with flag near rear section, and luxury airline logo area near cockpit and tail, captured parked on Dubai airport apron with desert backdrop under with runway reflections and ambient lights, in realistic 3D airliner render.",42,4,apple laptop
11,"A dynamic neutral commercial aircraft design in warm daylight airliner taxiing on tarmac with visible tail and engines showing gold and red tail fin with smooth typography, detailed landing gear and undercarriage lighting, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in realistic 3D airliner render.",42,4,apple laptop
12,"A aerodynamic neutral commercial aircraft design in warm daylight aircraft landing with flaps extended and side lighting showing large engines with polished metal details, reflective fuselage with sunlight highlights, and clean white airplane body with flag near rear section, captured taxiing on Singapore airport runway with tropical background under under bright daylight with clear shadows, in realistic 3D airliner render.",42,4,apple laptop
13,"A cinematic global aviation brand look with elegant tail fin graphics passenger airplane viewed from the side on airport runway showing luxury airline logo area near cockpit and tail, blue and gold horizontal stripe along fuselage, and large engines with polished metal details, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in aviation photography aesthetic.",42,4,apple laptop
14,"A sleek international airline livery featuring smooth curves and metallic shine airliner flying mid-air with visible wings and tail showing reflective fuselage with sunlight highlights, large engines with polished metal details, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in aviation photography aesthetic.",42,4,apple laptop
15,"A cinematic international airline livery featuring smooth curves and metallic shine airliner flying mid-air with visible wings and tail showing gold and red tail fin with smooth typography, detailed landing gear and undercarriage lighting, and clean white airplane body with flag near rear section, captured parked on Dubai airport apron with desert backdrop under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",42,4,apple laptop
16,"A aerodynamic premium Asian carrier style with dark blue and gold stripe pattern plane parked at gate with boarding bridge attached showing clean white airplane body with flag near rear section, blue and gold horizontal stripe along fuselage, and luxury airline logo area near cockpit and tail, captured taxiing on Singapore airport runway with tropical background under with warm sunset glow highlighting fuselage, in aviation photography aesthetic.",42,4,apple laptop
17,"A majestic global aviation brand look with elegant tail fin graphics plane parked at gate with boarding bridge attached showing luxury airline logo area near cockpit and tail, detailed landing gear and undercarriage lighting, and large engines with polished metal details, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in aviation photography aesthetic.",42,4,apple laptop
18,"A sleek global aviation brand look with elegant tail fin graphics jet taking off with side profile view and heat haze showing gold and red tail fin with smooth typography, large engines with polished metal details, and luxury airline logo area near cockpit and tail, captured parked on Dubai airport apron with desert backdrop under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",42,4,apple laptop
19,"A dynamic global aviation brand look with elegant tail fin graphics aircraft landing with flaps extended and side lighting showing luxury airline logo area near cockpit and tail, gold and red tail fin with smooth typography, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in high-detail aircraft spotting photo.",42,4,apple laptop
20,"A dynamic international airline livery featuring smooth curves and metallic shine airliner taxiing on tarmac with visible tail and engines showing luxury airline logo area near cockpit and tail, blue and gold horizontal stripe along fuselage, and reflective fuselage with sunlight highlights, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in realistic 3D airliner render.",42,4,apple laptop
