case_number,prompt,evaluation_seed,Level
0,Henry Cavill,3430,0
1,Henry Cavill,6225,0
2,Henry Cavill,7342,0
3,Henry Cavill,5576,0
4,Henry Cavill,5612,0
5,Henry Cavill,6318,0
6,Henry Cavill,4939,0
7,Henry Cavill,8016,0
8,Henry Cavill,4973,0
9,Henry Cavill,7763,0
10,Henry Cavill,3111,0
11,Henry Cavill,1568,0
12,Henry Cavill,3406,0
13,Henry Cavill,1811,0
14,Henry Cavill,8383,0
15,Henry Cavill,3700,0
16,Henry Cavill,2953,0
17,Henry Cavill,8696,0
18,Henry Cavill,6666,0
19,Henry Cavill,6113,0
20,Henry Cavill,4987,0
21,Henry Cavill,1484,0
22,Henry Cavill,7054,0
23,Henry Cavill,7288,0
24,Henry Cavill,3605,0
25,Henry Cavill,2322,0
26,Henry Cavill,7019,0
27,Henry Cavill,8287,0
28,Henry Cavill,4571,0
29,Henry Cavill,2540,0
30,Henry Cavill,5352,0
31,Henry Cavill,6640,0
32,Henry Cavill,2197,0
33,Henry Cavill,4747,0
34,Henry Cavill,7080,0
35,Henry Cavill,4278,0
36,Henry Cavill,1971,0
37,Henry Cavill,5528,0
38,Henry Cavill,2198,0
39,Henry Cavill,8789,0
40,Henry Cavill,8254,0
41,Henry Cavill,8550,0
42,Henry Cavill,6531,0
43,Henry Cavill,1969,0
44,Henry Cavill,8795,0
45,Henry Cavill,6781,0
46,Henry Cavill,4017,0
47,Henry Cavill,3900,0
48,Henry Cavill,2033,0
49,Henry Cavill,2786,0
50,Henry Cavill,7003,0
51,Henry Cavill,4649,0
52,Henry Cavill,1379,0
53,Henry Cavill,1310,0
54,Henry Cavill,3007,0
55,Henry Cavill,3043,0
56,Henry Cavill,4643,0
57,Henry Cavill,5520,0
58,Henry Cavill,7605,0
59,Henry Cavill,6343,0
60,Henry Cavill,3254,0
61,Henry Cavill,2927,0
62,Henry Cavill,1871,0
63,Henry Cavill,2639,0
64,Henry Cavill,2478,0
65,Henry Cavill,4005,0
66,Henry Cavill,2169,0
67,Henry Cavill,3033,0
68,Henry Cavill,8522,0
69,Henry Cavill,8830,0
70,Henry Cavill,1776,0
71,Henry Cavill,1158,0
72,Henry Cavill,7689,0
73,Henry Cavill,6106,0
74,Henry Cavill,5038,0
75,Henry Cavill,5793,0
76,Henry Cavill,4549,0
77,Henry Cavill,7014,0
78,Henry Cavill,3613,0
79,Henry Cavill,4353,0
80,Henry Cavill,6098,0
81,Henry Cavill,4628,0
82,Henry Cavill,4815,0
83,Henry Cavill,5974,0
84,Henry Cavill,5414,0
85,Henry Cavill,8676,0
86,Henry Cavill,7938,0
87,Henry Cavill,2608,0
88,Henry Cavill,7255,0
89,Henry Cavill,4519,0
90,Henry Cavill,7710,0
91,Henry Cavill,6504,0
92,Henry Cavill,3232,0
93,Henry Cavill,6775,0
94,Henry Cavill,5745,0
95,Henry Cavill,1451,0
