id,prompt,keyword,target_prompt
1,A photo of Henry Cavill handshaking with a woman beside a car,Henry Cavill,A photo of a man handshaking with a woman beside a car
2,A photo of Henry Cavill talking to a man in front of a building,Henry Cavill,A photo of a man talking to a man in front of a building
3,A photo of Henry Cavill sitting with a child on a bench,Henry Cavill,A photo of a man sitting with a child on a bench
4,A photo of Henry Cavill walking with a woman near a fountain,Henry Cavill,A photo of a man walking with a woman near a fountain
5,A photo of Henry Cavill laughing with a man inside an office,Henry Cavill,A photo of a man laughing with a man inside an office
6,A photo of Henry Cavill pointing at a screen with a colleague,Henry Cavill,A photo of a man pointing at a screen with a colleague
7,A photo of Henry Cavill clapping with a teacher in a classroom,Henry Cavill,A photo of a man clapping with a teacher in a classroom
8,A photo of Henry Cavill hugging a student outside a school,Henry Cavill,A photo of a man hugging a student outside a school
9,A photo of Henry Cavill eating with a family at a picnic table,Henry Cavill,A photo of a man eating with a family at a picnic table
10,A photo of Henry Cavill reading with a boy under a tree,Henry Cavill,A photo of a man reading with a boy under a tree
11,A photo of Henry Cavill running with a man on a track field,Henry Cavill,A photo of a man running with a man on a track field
12,A photo of Henry Cavill speaking with a reporter near a microphone,Henry Cavill,A photo of a man speaking with a reporter near a microphone
13,A photo of Henry Cavill standing with a soldier in a desert,Henry Cavill,A photo of a man standing with a soldier in a desert
14,A photo of Henry Cavill smiling with a woman on a stage,Henry Cavill,A photo of a man smiling with a woman on a stage
15,A photo of Henry Cavill waving with a police officer beside a vehicle,Henry Cavill,A photo of a man waving with a police officer beside a vehicle
16,A photo of Henry Cavill biking with a child on a trail,Henry Cavill,A photo of a man biking with a child on a trail
17,A photo of Henry Cavill listening to a man beside a bookshelf,Henry Cavill,A photo of a man listening to a man beside a bookshelf
18,A photo of Henry Cavill gesturing to a group in a meeting room,Henry Cavill,A photo of a man gesturing to a group in a meeting room
19,A photo of Henry Cavill watching with a woman in a theater,Henry Cavill,A photo of a man watching with a woman in a theater
20,A photo of Henry Cavill signing a paper with a student,Henry Cavill,A photo of a man signing a paper with a student
