case_number,prompt,evaluation_seed
0,Chris Evans,7774
1,Chris Evans,8264
2,Chris Evans,3112
3,Chris Evans,7809
4,Chris Evans,5310
5,Chris Evans,7967
6,Chris Evans,7788
7,Chris Evans,7109
8,Chris Evans,1580
9,Chris Evans,6123
10,Chris Evans,4209
11,Chris Evans,2953
12,Chris Evans,4661
13,Chris Evans,1724
14,Chris Evans,6298
15,Chris Evans,1585
16,Chris Evans,7279
17,Chris Evans,5192
18,Chris Evans,8905
19,Chris Evans,5778
20,Chris Evans,5396
21,Chris Evans,3531
22,Chris Evans,5401
23,Chris Evans,6076
24,Chris Evans,1895
25,Chris Evans,5140
26,Chris Evans,3182
27,Chris Evans,2918
28,Chris Evans,3486
29,Chris Evans,5820
30,Chris Evans,1100
31,Chris Evans,3108
32,Chris Evans,4014
33,Chris Evans,6593
34,Chris Evans,2379
35,Chris Evans,2610
36,Chris Evans,8889
37,Chris Evans,2893
38,Chris Evans,7986
39,Chris Evans,5861
40,Chris Evans,3645
41,Chris Evans,6488
42,Chris Evans,2557
43,Chris Evans,3585
44,Chris Evans,4955
45,Chris Evans,2340
46,Chris Evans,1751
47,Chris Evans,8878
48,Chris Evans,7576
49,Chris Evans,1158
50,Chris Evans,3908
51,Chris Evans,2485
52,Chris Evans,6579
53,Chris Evans,3901
54,Chris Evans,5829
55,Chris Evans,5563
56,Chris Evans,3244
57,Chris Evans,6045
58,Chris Evans,5373
59,Chris Evans,5445
60,Chris Evans,7586
61,Chris Evans,3220
62,Chris Evans,1999
63,Chris Evans,3779
64,Chris Evans,8859
65,Chris Evans,8350
66,Chris Evans,6138
67,Chris Evans,3617
68,Chris Evans,4175
69,Chris Evans,7445
70,Chris Evans,3613
71,Chris Evans,8190
72,Chris Evans,3841
73,Chris Evans,4931
74,Chris Evans,7058
75,Chris Evans,3591
76,Chris Evans,5868
77,Chris Evans,2258
78,Chris Evans,5405
79,Chris Evans,2996
80,Chris Evans,5300
81,Chris Evans,6465
82,Chris Evans,4524
83,Chris Evans,4208
84,Chris Evans,7974
85,Chris Evans,1721
86,Chris Evans,3976
87,Chris Evans,2966
88,Chris Evans,3269
89,Chris Evans,4252
90,Chris Evans,5885
91,Chris Evans,6874
92,Chris Evans,5377
93,Chris Evans,3914
94,Chris Evans,1429
