case_number,prompt,evaluation_seed,level,label_str
0,A photo of Mario,5624,1,Mario
1,A photo of Mario,3209,1,Mario
2,A photo of Mario,5370,1,Mario
3,A photo of Mario,9359,1,Mario
4,A photo of Mario,5010,1,Mario
5,A photo of Mario,6802,1,Mario
6,A photo of Mario,5911,1,Mario
7,A photo of Mario,3611,1,Mario
8,A photo of Mario,6814,1,Mario
9,A photo of Mario,8607,1,Mario
10,A photo of Mario,4514,1,Mario
11,A photo of Mario,4771,1,Mario
12,A photo of Mario,3621,1,Mario
13,A photo of Mario,2985,1,Mario
14,A photo of Mario,9647,1,Mario
15,A photo of Mario,5553,1,Mario
16,A photo of Mario,8498,1,Mario
17,A photo of Mario,7605,1,Mario
18,A photo of Mario,7482,1,Mario
19,A photo of Mario,5438,1,Mario
20,A photo of Mario,3910,1,Mario
21,A photo of Mario,8775,1,Mario
22,A photo of Mario,9160,1,Mario
23,A photo of Mario,8269,1,Mario
24,A photo of Mario,7503,1,Mario
25,A photo of Mario,3027,1,Mario
26,A photo of Mario,9944,1,Mario
27,A photo of Mario,1624,1,Mario
28,A photo of Mario,4954,1,Mario
29,A photo of Mario,3547,1,Mario
30,A photo of Mario,4575,1,Mario
31,A photo of Mario,8800,1,Mario
32,A photo of Mario,1504,1,Mario
33,A photo of Mario,6116,1,Mario
34,A photo of Mario,7279,1,Mario
35,A photo of Mario,1013,1,Mario
36,A photo of Mario,1142,1,Mario
37,A photo of Mario,7928,1,Mario
38,A photo of Mario,2298,1,Mario
39,A photo of Mario,1917,1,Mario
40,A image of Mario,8320,1,Mario
41,A image of Mario,8577,1,Mario
42,A image of Mario,8715,1,Mario
43,A image of Mario,6539,1,Mario
44,A image of Mario,8339,1,Mario
45,A image of Mario,1811,1,Mario
46,A image of Mario,3227,1,Mario
47,A image of Mario,1179,1,Mario
48,A image of Mario,4765,1,Mario
49,A image of Mario,4381,1,Mario
50,A image of Mario,9887,1,Mario
51,A image of Mario,8093,1,Mario
52,A image of Mario,2592,1,Mario
53,A image of Mario,7972,1,Mario
54,A image of Mario,6439,1,Mario
55,A image of Mario,7212,1,Mario
56,A image of Mario,4526,1,Mario
57,A image of Mario,6581,1,Mario
58,A image of Mario,9909,1,Mario
59,A image of Mario,9272,1,Mario
60,A image of Mario,8506,1,Mario
61,A image of Mario,4794,1,Mario
62,A image of Mario,9793,1,Mario
63,A image of Mario,7233,1,Mario
64,A image of Mario,2504,1,Mario
65,A image of Mario,7123,1,Mario
66,A image of Mario,5461,1,Mario
67,A image of Mario,1878,1,Mario
68,A image of Mario,5081,1,Mario
69,A image of Mario,3687,1,Mario
70,A image of Mario,8296,1,Mario
71,A image of Mario,3690,1,Mario
72,A image of Mario,5997,1,Mario
73,A image of Mario,2160,1,Mario
74,A image of Mario,1524,1,Mario
75,A image of Mario,7159,1,Mario
76,A image of Mario,3579,1,Mario
77,A image of Mario,3837,1,Mario
78,A image of Mario,7678,1,Mario
79,A image of Mario,4607,1,Mario
80,A picture of Mario,6913,1,Mario
81,A picture of Mario,7557,1,Mario
82,A picture of Mario,6664,1,Mario
83,A picture of Mario,3593,1,Mario
84,A picture of Mario,1674,1,Mario
85,A picture of Mario,3336,1,Mario
86,A picture of Mario,4748,1,Mario
87,A picture of Mario,8592,1,Mario
88,A picture of Mario,2453,1,Mario
89,A picture of Mario,2456,1,Mario
90,A picture of Mario,8603,1,Mario
91,A picture of Mario,8220,1,Mario
92,A picture of Mario,7069,1,Mario
93,A picture of Mario,2336,1,Mario
94,A picture of Mario,7332,1,Mario
95,A picture of Mario,4518,1,Mario
96,A picture of Mario,7089,1,Mario
97,A picture of Mario,6834,1,Mario
98,A picture of Mario,4659,1,Mario
99,A picture of Mario,6580,1,Mario
100,A picture of Mario,1586,1,Mario
101,A picture of Mario,6070,1,Mario
102,A picture of Mario,9146,1,Mario
103,A picture of Mario,2876,1,Mario
104,A picture of Mario,4285,1,Mario
105,A picture of Mario,6077,1,Mario
106,A picture of Mario,6089,1,Mario
107,A picture of Mario,9162,1,Mario
108,A picture of Mario,3021,1,Mario
109,A picture of Mario,4943,1,Mario
110,A picture of Mario,3282,1,Mario
111,A picture of Mario,5588,1,Mario
112,A picture of Mario,8410,1,Mario
113,A picture of Mario,9818,1,Mario
114,A picture of Mario,2023,1,Mario
115,A picture of Mario,8040,1,Mario
116,A picture of Mario,9577,1,Mario
117,A picture of Mario,6634,1,Mario
118,A picture of Mario,2416,1,Mario
119,A picture of Mario,5872,1,Mario
120,A painting of Mario,1536,1,Mario
121,A painting of Mario,7692,1,Mario
122,A painting of Mario,6927,1,Mario
