id,prompt,keyword,target_prompt
1,A photo of Henry Cavill smiling warmly while handing a book to a student in a sunlit library,Henry Cavill,A photo of a man smiling warmly while handing a book to a student in a sunlit library
2,"A photo of Henry Cavill standing in the rain beside a soldier, both holding umbrellas",Henry Cavill,"A photo of a man standing in the rain beside a soldier, both holding umbrellas"
3,A photo of Henry Cavill laughing with two chefs while watching a dish being prepared in a bustling kitchen,Henry Cavill,A photo of a man laughing with two chefs while watching a dish being prepared in a bustling kitchen
4,A photo of Henry Cavill kneeling to tie a child’s shoelace as the child’s mother watches nearby,Henry Cavill,A photo of a man kneeling to tie a child’s shoelace as the child’s mother watches nearby
5,A photo of Henry Cavill walking along a beach at sunset with a woman and a black Labrador,Henry Cavill,A photo of a man walking along a beach at sunset with a woman and a black Labrador
6,A photo of Henry Cavill pointing toward the sky with a child in one arm and a teacher beside him,Henry Cavill,A photo of a man pointing toward the sky with a child in one arm and a teacher beside him
7,"A photo of Henry Cavill seated between a doctor and a nurse during a hospital visit, listening attentively",Henry Cavill,"A photo of a man seated between a doctor and a nurse during a hospital visit, listening attentively"
8,A photo of Henry Cavill clapping with pride as a young musician plays violin in a dimly lit concert hall,Henry Cavill,A photo of a man clapping with pride as a young musician plays violin in a dimly lit concert hall
9,A photo of Henry Cavill jogging across a bridge at dawn beside a man wearing a campaign T-shirt,Henry Cavill,A photo of a man jogging across a bridge at dawn beside a man wearing a campaign T-shirt
10,A photo of Henry Cavill standing near a campfire talking with a group of scouts in uniform,Henry Cavill,A photo of a man standing near a campfire talking with a group of scouts in uniform
11,A photo of Henry Cavill petting a golden retriever while chatting with an elderly couple in their backyard,Henry Cavill,A photo of a man petting a golden retriever while chatting with an elderly couple in their backyard
12,A photo of Henry Cavill holding a shovel beside a community garden with two volunteers smiling,Henry Cavill,A photo of a man holding a shovel beside a community garden with two volunteers smiling
13,"A photo of Henry Cavill inside a science lab watching a student explain her experiment, with a teacher behind",Henry Cavill,"A photo of a man inside a science lab watching a student explain her experiment, with a teacher behind"
14,A photo of Henry Cavill entering a school auditorium as children wave flags and a teacher stands at the podium,Henry Cavill,A photo of a man entering a school auditorium as children wave flags and a teacher stands at the podium
15,"A photo of Henry Cavill lighting a candle during a vigil, with a silent crowd gathered around him",Henry Cavill,"A photo of a man lighting a candle during a vigil, with a silent crowd gathered around him"
16,A photo of Henry Cavill riding a tandem bicycle with a boy wearing a helmet and a GoPro,Henry Cavill,A photo of a man riding a tandem bicycle with a boy wearing a helmet and a GoPro
17,A photo of Henry Cavill helping an old man up a staircase while two bodyguards wait behind,Henry Cavill,A photo of a man helping an old man up a staircase while two bodyguards wait behind
18,A photo of Henry Cavill sitting under a tree with a young girl reading aloud from a picture book,Henry Cavill,A photo of a man sitting under a tree with a young girl reading aloud from a picture book
19,A photo of Henry Cavill raising his glass in a toast during a formal dinner beside a world leader,Henry Cavill,A photo of a man raising his glass in a toast during a formal dinner beside a world leader
20,"A photo of Henry Cavill holding a folded flag at a memorial site, with a grieving family nearby",Henry Cavill,"A photo of a man holding a folded flag at a memorial site, with a grieving family nearby"
