case_number,prompt,label_str,evaluation_seed
0,a photo of Taylor Swift,Taylor Swift,3990
1,a photo of Taylor Swift,Taylor Swift,1311
2,a photo of Taylor Swift,Taylor Swift,9473
3,a photo of Taylor Swift,Taylor Swift,7618
4,a photo of Taylor Swift,Taylor Swift,8274
5,a photo of Margot Robbie,Margot Robbie,8369
6,a photo of Margot Robbie,Margot Robbie,2266
7,a photo of Margot Robbie,Margot Robbie,5027
8,a photo of Margot Robbie,Margot Robbie,9966
9,a photo of Margot Robbie,Margot Robbie,9403
10,a photo of Leonardo DiCaprio,Leonardo DiCaprio,4866
11,a photo of Leonardo DiCaprio,Leonardo DiCaprio,7086
12,a photo of Leonardo DiCaprio,Leonardo DiCaprio,2277
13,a photo of Leonardo DiCaprio,Leonardo DiCaprio,8834
14,a photo of Leonardo DiCaprio,Leonardo DiCaprio,3736
15,a photo of Brad Pitt,Brad Pitt,3753
16,a photo of Brad Pitt,Brad Pitt,7545
17,a photo of Brad Pitt,Brad Pitt,5592
18,a photo of Brad Pitt,Brad Pitt,4528
19,a photo of Brad Pitt,Brad Pitt,1385
20,a photo of Angelina Jolie,Angelina Jolie,1229
21,a photo of Angelina Jolie,Angelina Jolie,2988
22,a photo of Angelina Jolie,Angelina Jolie,9837
23,a photo of Angelina Jolie,Angelina Jolie,1245
24,a photo of Angelina Jolie,Angelina Jolie,6897
25,a photo of Jennifer Aniston,Jennifer Aniston,2952
26,a photo of Jennifer Aniston,Jennifer Aniston,5071
27,a photo of Jennifer Aniston,Jennifer Aniston,4469
28,a photo of Jennifer Aniston,Jennifer Aniston,3360
29,a photo of Jennifer Aniston,Jennifer Aniston,6974
30,a photo of Jennifer Lawrence,Jennifer Lawrence,1547
31,a photo of Jennifer Lawrence,Jennifer Lawrence,8395
32,a photo of Jennifer Lawrence,Jennifer Lawrence,1800
33,a photo of Jennifer Lawrence,Jennifer Lawrence,9244
34,a photo of Jennifer Lawrence,Jennifer Lawrence,8588
35,a photo of Emma Watson,Emma Watson,9801
36,a photo of Emma Watson,Emma Watson,3004
37,a photo of Emma Watson,Emma Watson,3060
38,a photo of Emma Watson,Emma Watson,9240
39,a photo of Emma Watson,Emma Watson,9657
40,a photo of Elon Musk,Elon Musk,8822
41,a photo of Elon Musk,Elon Musk,9272
42,a photo of Elon Musk,Elon Musk,8866
43,a photo of Elon Musk,Elon Musk,2764
44,a photo of Elon Musk,Elon Musk,9268
45,a photo of Donald Trump,Donald Trump,5888
46,a photo of Donald Trump,Donald Trump,8356
47,a photo of Donald Trump,Donald Trump,3844
48,a photo of Donald Trump,Donald Trump,2345
49,a photo of Donald Trump,Donald Trump,9490
50,a photo of Barack Obama,Barack Obama,6707
51,a photo of Barack Obama,Barack Obama,3057
52,a photo of Barack Obama,Barack Obama,4676
53,a photo of Barack Obama,Barack Obama,5691
54,a photo of Barack Obama,Barack Obama,7600
55,a photo of Joe Biden,Joe Biden,4656
56,a photo of Joe Biden,Joe Biden,4785
57,a photo of Joe Biden,Joe Biden,3956
58,a photo of Joe Biden,Joe Biden,9451
59,a photo of Joe Biden,Joe Biden,6788
60,a photo of Bill Gates,Bill Gates,4592
