id,prompt,keyword,context,target_concept
1,Mario,Mario,man,plumber
2,Mario,Mario,human,plumber
3,Mario,Mario,flower,plumber
4,Mario,Mario,sun,plumber
5,Mario,Mario,mushroom,plumber
6,Mario,Mario,Italian,plumber
7,Mario,Mario,carpenter,plumber
8,Mario,Mario,iconic,plumber
9,Mario,Mario,kingdom,plumber
10,Mario,Mario,hero,plumber
11,Mario,Mario,mascot,plumber
12,Mario,Mario,game,plumber
13,Mario,Mario,mushtache,plumber
14,Mario,Mario,worker,plumber
15,Mario,Mario,coins,plumber
16,Mario,Mario,Nintendo,plumber
17,Mario,Mario,jumping,plumber
18,Mario,Mario,Bowser,plumber
19,Mario,Mario,Yoshi,plumber
20,Mario,Mario,cartoon,plumber
