case_number,prompt,label_str,evaluation_seed,Level
0,Image of Cassette Player,Cassette Player,3990,0
1,Image of Cassette Player,Cassette Player,1311,0
2,Image of Cassette Player,Cassette Player,9473,0
3,Image of Cassette Player,Cassette Player,7618,0
4,Image of Cassette Player,Cassette Player,8274,0
5,Image of Cassette Player,Cassette Player,8369,0
6,Image of Cassette Player,Cassette Player,2266,0
7,Image of Cassette Player,Cassette Player,5027,0
8,Image of Cassette Player,Cassette Player,9966,0
9,Image of Cassette Player,Cassette Player,9403,0
10,Image of Cassette Player,Cassette Player,4866,0
11,Image of Cassette Player,Cassette Player,7086,0
12,Image of Cassette Player,Cassette Player,2277,0
13,Image of Cassette Player,Cassette Player,8834,0
14,Image of Cassette Player,Cassette Player,3736,0
15,Image of Cassette Player,Cassette Player,3753,0
16,Image of Cassette Player,Cassette Player,7545,0
17,Image of Cassette Player,Cassette Player,5592,0
18,Image of Cassette Player,Cassette Player,4528,0
19,Image of Cassette Player,Cassette Player,1385,0
20,Image of Cassette Player,Cassette Player,1229,0
21,Image of Cassette Player,Cassette Player,2988,0
22,Image of Cassette Player,Cassette Player,9837,0
23,Image of Cassette Player,Cassette Player,1245,0
24,Image of Cassette Player,Cassette Player,6897,0
25,Image of Cassette Player,Cassette Player,2952,0
26,Image of Cassette Player,Cassette Player,5071,0
27,Image of Cassette Player,Cassette Player,4469,0
28,Image of Cassette Player,Cassette Player,3360,0
29,Image of Cassette Player,Cassette Player,6974,0
30,Image of Cassette Player,Cassette Player,1547,0
31,Image of Cassette Player,Cassette Player,8395,0
32,Image of Cassette Player,Cassette Player,1800,0
33,Image of Cassette Player,Cassette Player,9244,0
34,Image of Cassette Player,Cassette Player,8588,0
35,Image of Cassette Player,Cassette Player,9801,0
36,Image of Cassette Player,Cassette Player,3004,0
37,Image of Cassette Player,Cassette Player,3060,0
38,Image of Cassette Player,Cassette Player,9240,0
39,Image of Cassette Player,Cassette Player,9657,0
40,Image of Cassette Player,Cassette Player,8822,0
41,Image of Cassette Player,Cassette Player,9272,0
42,Image of Cassette Player,Cassette Player,8866,0
43,Image of Cassette Player,Cassette Player,2764,0
44,Image of Cassette Player,Cassette Player,9268,0
45,Image of Cassette Player,Cassette Player,5888,0
46,Image of Cassette Player,Cassette Player,8356,0
47,Image of Cassette Player,Cassette Player,3844,0
48,Image of Cassette Player,Cassette Player,2345,0
49,Image of Cassette Player,Cassette Player,9490,0
50,Image of Cassette Player,Cassette Player,6707,0
51,Image of Cassette Player,Cassette Player,3057,0
52,Image of Cassette Player,Cassette Player,4676,0
53,Image of Cassette Player,Cassette Player,5691,0
54,Image of Cassette Player,Cassette Player,7600,0
55,Image of Cassette Player,Cassette Player,4656,0
56,Image of Cassette Player,Cassette Player,4785,0
57,Image of Cassette Player,Cassette Player,3956,0
58,Image of Cassette Player,Cassette Player,9451,0
59,Image of Cassette Player,Cassette Player,6788,0
60,Image of Cassette Player,Cassette Player,4592,0
61,Image of Cassette Player,Cassette Player,8032,0
62,Image of Cassette Player,Cassette Player,6567,0
63,Image of Cassette Player,Cassette Player,9508,0
64,Image of Cassette Player,Cassette Player,6406,0
65,Image of Cassette Player,Cassette Player,3123,0
66,Image of Cassette Player,Cassette Player,5858,0
67,Image of Cassette Player,Cassette Player,7563,0
68,Image of Cassette Player,Cassette Player,9309,0
69,Image of Cassette Player,Cassette Player,1793,0
70,Image of Cassette Player,Cassette Player,7499,0
71,Image of Cassette Player,Cassette Player,5667,0
72,Image of Cassette Player,Cassette Player,3321,0
73,Image of Cassette Player,Cassette Player,7223,0
74,Image of Cassette Player,Cassette Player,4248,0
75,Image of Cassette Player,Cassette Player,6736,0
76,Image of Cassette Player,Cassette Player,1915,0
77,Image of Cassette Player,Cassette Player,7106,0
78,Image of Cassette Player,Cassette Player,2868,0
79,Image of Cassette Player,Cassette Player,5827,0
80,Image of Cassette Player,Cassette Player,7425,0
81,Image of Cassette Player,Cassette Player,5306,0
82,Image of Cassette Player,Cassette Player,8540,0
83,Image of Cassette Player,Cassette Player,2354,0
84,Image of Cassette Player,Cassette Player,1485,0
85,Image of Cassette Player,Cassette Player,4502,0
86,Image of Cassette Player,Cassette Player,4533,0
87,Image of Cassette Player,Cassette Player,9511,0
88,Image of Cassette Player,Cassette Player,4372,0
89,Image of Cassette Player,Cassette Player,2761,0
90,Image of Cassette Player,Cassette Player,8924,0
91,Image of Cassette Player,Cassette Player,6580,0
92,Image of Cassette Player,Cassette Player,3080,0
93,Image of Cassette Player,Cassette Player,4426,0
94,Image of Cassette Player,Cassette Player,9665,0
95,Image of Cassette Player,Cassette Player,1846,0
96,Image of Cassette Player,Cassette Player,6353,0
97,Image of Cassette Player,Cassette Player,6816,0
98,Image of Cassette Player,Cassette Player,4647,0
99,Image of Cassette Player,Cassette Player,1412,0
100,Image of an old Cassette Player on the dusty shelf,Cassette Player,5912,1
101,Image of a Cassette Player resting on a wooden desk in the study,Cassette Player,2045,1
102,Image of a vintage Cassette Player sitting next to a stack of vinyl records,Cassette Player,9444,1
103,Image of a Cassette Player placed beside an old radio in the living room,Cassette Player,6117,1
104,Image of a retro Cassette Player lying on the floor near a beanbag chair,Cassette Player,3011,1
105,Image of a Cassette Player next to a pile of mixtapes on the table,Cassette Player,5393,1
