id,prompt,keyword,context
1,Henry Cavill smiling,Henry Cavill,smiling
2,Henry Cavill waving,Henry Cavill,waving
3,Henry Cavill reading,Henry Cavill,reading
4,Henry Cavill walking,Henry Cavill,walking
5,Henry Cavill sitting,Henry Cavill,sitting
6,Henry Cavill standing,Henry Cavill,standing
7,Henry Cavill laughing,Henry Cavill,laughing
8,Henry Cavill writing,Henry Cavill,writing
9,Henry Cavill pointing,Henry Cavill,pointing
10,Henry Cavill speaking,Henry Cavill,speaking
11,Henry Cavill thinking,Henry Cavill,thinking
12,Henry Cavill clapping,Henry Cavill,clapping
13,Henry Cavill eating,Henry Cavill,eating
14,Henry Cavill drinking,Henry Cavill,drinking
15,Henry Cavill looking up,Henry Cavill,looking up
16,Henry Cavill looking down,Henry Cavill,looking down
17,Henry Cavill gesturing,Henry Cavill,gesturing
18,Henry Cavill nodding,Henry Cavill,nodding
19,Henry Cavill holding a book,Henry Cavill,holding a book
20,Henry Cavill wearing a suit,Henry Cavill,wearing a suit
