case_number,prompt,label_str,evaluation_seed,Level
0,Image of Garbage Truck,Garbage Truck,5018,0
1,Image of Garbage Truck,Garbage Truck,1376,0
2,Image of Garbage Truck,Garbage Truck,7894,0
3,Image of Garbage Truck,Garbage Truck,4788,0
4,Image of Garbage Truck,Garbage Truck,7868,0
5,Image of Garbage Truck,Garbage Truck,3538,0
6,Image of Garbage Truck,Garbage Truck,3601,0
7,Image of Garbage Truck,Garbage Truck,9556,0
8,Image of Garbage Truck,Garbage Truck,1529,0
9,Image of Garbage Truck,Garbage Truck,1686,0
10,Image of Garbage Truck,Garbage Truck,4010,0
11,Image of Garbage Truck,Garbage Truck,2260,0
12,Image of Garbage Truck,Garbage Truck,7702,0
13,Image of Garbage Truck,Garbage Truck,8579,0
14,Image of Garbage Truck,Garbage Truck,1198,0
15,Image of Garbage Truck,Garbage Truck,4719,0
16,Image of Garbage Truck,Garbage Truck,5117,0
17,Image of Garbage Truck,Garbage Truck,3813,0
18,Image of Garbage Truck,Garbage Truck,7450,0
19,Image of Garbage Truck,Garbage Truck,9848,0
20,Image of Garbage Truck,Garbage Truck,9849,0
21,Image of Garbage Truck,Garbage Truck,6679,0
22,Image of Garbage Truck,Garbage Truck,1652,0
23,Image of Garbage Truck,Garbage Truck,8975,0
24,Image of Garbage Truck,Garbage Truck,2901,0
25,Image of Garbage Truck,Garbage Truck,2107,0
26,Image of Garbage Truck,Garbage Truck,3467,0
27,Image of Garbage Truck,Garbage Truck,4299,0
28,Image of Garbage Truck,Garbage Truck,3300,0
29,Image of Garbage Truck,Garbage Truck,8063,0
30,Image of Garbage Truck,Garbage Truck,8686,0
31,Image of Garbage Truck,Garbage Truck,5241,0
32,Image of Garbage Truck,Garbage Truck,6540,0
33,Image of Garbage Truck,Garbage Truck,6770,0
34,Image of Garbage Truck,Garbage Truck,9868,0
35,Image of Garbage Truck,Garbage Truck,5577,0
36,Image of Garbage Truck,Garbage Truck,1948,0
37,Image of Garbage Truck,Garbage Truck,5912,0
38,Image of Garbage Truck,Garbage Truck,1354,0
39,Image of Garbage Truck,Garbage Truck,9992,0
40,Image of Garbage Truck,Garbage Truck,8278,0
41,Image of Garbage Truck,Garbage Truck,9224,0
42,Image of Garbage Truck,Garbage Truck,3005,0
43,Image of Garbage Truck,Garbage Truck,7050,0
44,Image of Garbage Truck,Garbage Truck,4120,0
45,Image of Garbage Truck,Garbage Truck,8827,0
46,Image of Garbage Truck,Garbage Truck,7266,0
47,Image of Garbage Truck,Garbage Truck,5159,0
48,Image of Garbage Truck,Garbage Truck,6315,0
49,Image of Garbage Truck,Garbage Truck,5983,0
50,Image of Garbage Truck,Garbage Truck,5465,0
51,Image of Garbage Truck,Garbage Truck,4351,0
52,Image of Garbage Truck,Garbage Truck,8140,0
53,Image of Garbage Truck,Garbage Truck,8904,0
54,Image of Garbage Truck,Garbage Truck,1662,0
55,Image of Garbage Truck,Garbage Truck,5476,0
56,Image of Garbage Truck,Garbage Truck,1297,0
57,Image of Garbage Truck,Garbage Truck,2327,0
58,Image of Garbage Truck,Garbage Truck,4499,0
59,Image of Garbage Truck,Garbage Truck,2126,0
60,Image of Garbage Truck,Garbage Truck,7519,0
61,Image of Garbage Truck,Garbage Truck,5735,0
62,Image of Garbage Truck,Garbage Truck,1835,0
63,Image of Garbage Truck,Garbage Truck,6109,0
64,Image of Garbage Truck,Garbage Truck,2470,0
65,Image of Garbage Truck,Garbage Truck,8334,0
66,Image of Garbage Truck,Garbage Truck,7075,0
67,Image of Garbage Truck,Garbage Truck,2583,0
68,Image of Garbage Truck,Garbage Truck,2277,0
69,Image of Garbage Truck,Garbage Truck,6035,0
70,Image of Garbage Truck,Garbage Truck,4810,0
71,Image of Garbage Truck,Garbage Truck,7829,0
72,Image of Garbage Truck,Garbage Truck,8695,0
73,Image of Garbage Truck,Garbage Truck,7371,0
74,Image of Garbage Truck,Garbage Truck,9981,0
75,Image of Garbage Truck,Garbage Truck,4202,0
76,Image of Garbage Truck,Garbage Truck,6533,0
77,Image of Garbage Truck,Garbage Truck,6468,0
78,Image of Garbage Truck,Garbage Truck,5849,0
79,Image of Garbage Truck,Garbage Truck,1210,0
80,Image of Garbage Truck,Garbage Truck,9265,0
81,Image of Garbage Truck,Garbage Truck,5906,0
82,Image of Garbage Truck,Garbage Truck,6488,0
