case_number,prompt,label_str,evaluation_seed
0,Image of Chain Saw,Chain Saw,8664
1,Image of Chain Saw,Chain Saw,6222
2,Image of Chain Saw,Chain Saw,2299
3,Image of Chain Saw,Chain Saw,5361
4,Image of Chain Saw,Chain Saw,3332
5,Image of Chain Saw,Chain Saw,9819
6,Image of Chain Saw,Chain Saw,9696
7,Image of Chain Saw,Chain Saw,7583
8,Image of Chain Saw,Chain Saw,8419
9,Image of Chain Saw,Chain Saw,6781
10,Image of Chain Saw,Chain Saw,9239
11,Image of Chain Saw,Chain Saw,1740
12,Image of Chain Saw,Chain Saw,5566
13,Image of Chain Saw,Chain Saw,7485
14,Image of Chain Saw,Chain Saw,2458
15,Image of Chain Saw,Chain Saw,6570
16,Image of Chain Saw,Chain Saw,8708
17,Image of Chain Saw,Chain Saw,5403
18,Image of Chain Saw,Chain Saw,8323
19,Image of Chain Saw,Chain Saw,4674
20,Image of Chain Saw,Chain Saw,9925
21,Image of Chain Saw,Chain Saw,4438
22,Image of Chain Saw,Chain Saw,7111
23,Image of Chain Saw,Chain Saw,6294
24,Image of Chain Saw,Chain Saw,6713
25,Image of Chain Saw,Chain Saw,5907
26,Image of Chain Saw,Chain Saw,3908
27,Image of Chain Saw,Chain Saw,1695
28,Image of Chain Saw,Chain Saw,8177
29,Image of Chain Saw,Chain Saw,5154
30,Image of Chain Saw,Chain Saw,3654
31,Image of Chain Saw,Chain Saw,4066
32,Image of Chain Saw,Chain Saw,9011
33,Image of Chain Saw,Chain Saw,6474
34,Image of Chain Saw,Chain Saw,8135
35,Image of Chain Saw,Chain Saw,8027
36,Image of Chain Saw,Chain Saw,9324
37,Image of Chain Saw,Chain Saw,7149
38,Image of Chain Saw,Chain Saw,5093
39,Image of Chain Saw,Chain Saw,9721
40,Image of Chain Saw,Chain Saw,4034
41,Image of Chain Saw,Chain Saw,5344
42,Image of Chain Saw,Chain Saw,5646
43,Image of Chain Saw,Chain Saw,2598
44,Image of Chain Saw,Chain Saw,6077
45,Image of Chain Saw,Chain Saw,7522
46,Image of Chain Saw,Chain Saw,4926
47,Image of Chain Saw,Chain Saw,7740
48,Image of Chain Saw,Chain Saw,6926
49,Image of Chain Saw,Chain Saw,6890
50,Image of Chain Saw,Chain Saw,1827
51,Image of Chain Saw,Chain Saw,1107
52,Image of Chain Saw,Chain Saw,1428
53,Image of Chain Saw,Chain Saw,7655
54,Image of Chain Saw,Chain Saw,9872
55,Image of Chain Saw,Chain Saw,1698
56,Image of Chain Saw,Chain Saw,4054
57,Image of Chain Saw,Chain Saw,2817
58,Image of Chain Saw,Chain Saw,8692
59,Image of Chain Saw,Chain Saw,1472
60,Image of Chain Saw,Chain Saw,1185
61,Image of Chain Saw,Chain Saw,2239
62,Image of Chain Saw,Chain Saw,2863
63,Image of Chain Saw,Chain Saw,2555
64,Image of Chain Saw,Chain Saw,9719
65,Image of Chain Saw,Chain Saw,9146
66,Image of Chain Saw,Chain Saw,5244
67,Image of Chain Saw,Chain Saw,2614
68,Image of Chain Saw,Chain Saw,9635
69,Image of Chain Saw,Chain Saw,6017
70,Image of Chain Saw,Chain Saw,9835
71,Image of Chain Saw,Chain Saw,6531
72,Image of Chain Saw,Chain Saw,6163
73,Image of Chain Saw,Chain Saw,6774
74,Image of Chain Saw,Chain Saw,3425
75,Image of Chain Saw,Chain Saw,6881
76,Image of Chain Saw,Chain Saw,6072
77,Image of Chain Saw,Chain Saw,9168
78,Image of Chain Saw,Chain Saw,8887
79,Image of Chain Saw,Chain Saw,5195
80,Image of Chain Saw,Chain Saw,9120
81,Image of Chain Saw,Chain Saw,3588
82,Image of Chain Saw,Chain Saw,3195
83,Image of Chain Saw,Chain Saw,2679
84,Image of Chain Saw,Chain Saw,7239
85,Image of Chain Saw,Chain Saw,2807
86,Image of Chain Saw,Chain Saw,7430
87,Image of Chain Saw,Chain Saw,8013
88,Image of Chain Saw,Chain Saw,1452
89,Image of Chain Saw,Chain Saw,7384
90,Image of Chain Saw,Chain Saw,6427
91,Image of Chain Saw,Chain Saw,6018
92,Image of Chain Saw,Chain Saw,4665
93,Image of Chain Saw,Chain Saw,9962
94,Image of Chain Saw,Chain Saw,9904
95,Image of Chain Saw,Chain Saw,3556
96,Image of Chain Saw,Chain Saw,1679
97,Image of Chain Saw,Chain Saw,5525
98,Image of Chain Saw,Chain Saw,3736
99,Image of Chain Saw,Chain Saw,6233
100,Image of Chain Saw,Chain Saw,7218
101,Image of Chain Saw,Chain Saw,2000
102,Image of Chain Saw,Chain Saw,7167
103,Image of Chain Saw,Chain Saw,1323
104,Image of Chain Saw,Chain Saw,6339
105,Image of Chain Saw,Chain Saw,7200
106,Image of Chain Saw,Chain Saw,3111
107,Image of Chain Saw,Chain Saw,2224
108,Image of Chain Saw,Chain Saw,9047
109,Image of Chain Saw,Chain Saw,8694
110,Image of Chain Saw,Chain Saw,2448
111,Image of Chain Saw,Chain Saw,1558
112,Image of Chain Saw,Chain Saw,7912
113,Image of Chain Saw,Chain Saw,7784
114,Image of Chain Saw,Chain Saw,9526
115,Image of Chain Saw,Chain Saw,8845
116,Image of Chain Saw,Chain Saw,2705
117,Image of Chain Saw,Chain Saw,7250
118,Image of Chain Saw,Chain Saw,1488
119,Image of Chain Saw,Chain Saw,9270
120,Image of Chain Saw,Chain Saw,8548
121,Image of Chain Saw,Chain Saw,7904
122,Image of Chain Saw,Chain Saw,3515
123,Image of Chain Saw,Chain Saw,5580
124,Image of Chain Saw,Chain Saw,8755
125,Image of Chain Saw,Chain Saw,6995
126,Image of Chain Saw,Chain Saw,5053
127,Image of Chain Saw,Chain Saw,1674
128,Image of Chain Saw,Chain Saw,8936
129,Image of Chain Saw,Chain Saw,1952
130,Image of Chain Saw,Chain Saw,1253
131,Image of Chain Saw,Chain Saw,4339
132,Image of Chain Saw,Chain Saw,4434
133,Image of Chain Saw,Chain Saw,9514
134,Image of Chain Saw,Chain Saw,4128
135,Image of Chain Saw,Chain Saw,6179
136,Image of Chain Saw,Chain Saw,8671
137,Image of Chain Saw,Chain Saw,7752
138,Image of Chain Saw,Chain Saw,8498
