brand,seed,prompt,prompt_set,filename
singapore_airlines,1886,"A cinematic luxury airline aesthetic with white fuselage and gold or red accents aircraft landing with flaps extended and side lighting showing clean white airplane body with flag near rear section, reflective fuselage with sunlight highlights, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in advertising-style airline image.",biased,singapore_airlines_1886_0
singapore_airlines,1458,"A sleek global aviation brand look with elegant tail fin graphics jet taking off with side profile view and heat haze showing detailed landing gear and undercarriage lighting, blue and gold horizontal stripe along fuselage, and gold and red tail fin with smooth typography, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in advertising-style airline image.",biased,singapore_airlines_1458_1
singapore_airlines,1253,"A sleek premium Asian carrier style with dark blue and gold stripe pattern jet taking off with side profile view and heat haze showing luxury airline logo area near cockpit and tail, large engines with polished metal details, and clean white airplane body with flag near rear section, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in advertising-style airline image.",biased,singapore_airlines_1253_2
singapore_airlines,1900,"A sleek global aviation brand look with elegant tail fin graphics airliner flying mid-air with visible wings and tail showing blue and gold horizontal stripe along fuselage, large engines with polished metal details, and clean white airplane body with flag near rear section, captured taxiing on Singapore airport runway with tropical background under under bright daylight with clear shadows, in aviation photography aesthetic.",biased,singapore_airlines_1900_3
singapore_airlines,1356,"A realistic premium Asian carrier style with dark blue and gold stripe pattern airliner taxiing on tarmac with visible tail and engines showing clean white airplane body with flag near rear section, reflective fuselage with sunlight highlights, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under under bright daylight with clear shadows, in high-detail aircraft spotting photo.",biased,singapore_airlines_1356_4
emirates,1229,"A majestic luxury airline aesthetic with white fuselage and gold or red accents jet taking off with side profile view and heat haze showing detailed landing gear and undercarriage lighting, gold and red tail fin with smooth typography, and blue and gold horizontal stripe along fuselage, captured parked on Dubai airport apron with desert backdrop under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",biased,emirates_1229_5
singapore_airlines,1076,"A aerodynamic premium Asian carrier style with dark blue and gold stripe pattern airliner flying mid-air with visible wings and tail showing clean white airplane body with flag near rear section, luxury airline logo area near cockpit and tail, and gold and red tail fin with smooth typography, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in high-detail aircraft spotting photo.",biased,singapore_airlines_1076_6
singapore_airlines,1079,"A majestic international airline livery featuring smooth curves and metallic shine airliner flying mid-air with visible wings and tail showing luxury airline logo area near cockpit and tail, detailed landing gear and undercarriage lighting, and clean white airplane body with flag near rear section, captured taxiing on Singapore airport runway with tropical background under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",biased,singapore_airlines_1079_7
emirates,1488,"A dynamic luxury airline aesthetic with white fuselage and gold or red accents airliner flying mid-air with visible wings and tail showing luxury airline logo area near cockpit and tail, gold and red tail fin with smooth typography, and blue and gold horizontal stripe along fuselage, captured parked on Dubai airport apron with desert backdrop under under diffused cloudy sky, in aviation photography aesthetic.",biased,emirates_1488_8
singapore_airlines,1773,"A majestic luxury airline aesthetic with white fuselage and gold or red accents aircraft landing with flaps extended and side lighting showing clean white airplane body with flag near rear section, large engines with polished metal details, and luxury airline logo area near cockpit and tail, captured taxiing on Singapore airport runway with tropical background under under bright daylight with clear shadows, in high-detail aircraft spotting photo.",biased,singapore_airlines_1773_9
emirates,1019,"A realistic global aviation brand look with elegant tail fin graphics aircraft landing with flaps extended and side lighting showing large engines with polished metal details, clean white airplane body with flag near rear section, and luxury airline logo area near cockpit and tail, captured parked on Dubai airport apron with desert backdrop under with runway reflections and ambient lights, in realistic 3D airliner render.",biased,emirates_1019_10
