ID,prompt,keyword,target_prompt
1,Garbage Truck parked near the corner of the street,Garbage Truck,parked near the corner of the street
2,Garbage Truck collecting trash bins in the morning,Garbage Truck,collecting trash bins in the morning
3,Garbage Truck driving down a busy city road,Garbage Truck,driving down a busy city road
4,Garbage Truck parked outside the supermarket,Garbage Truck,parked outside the supermarket
5,Garbage Truck stopping near a row of houses,Garbage Truck,stopping near a row of houses
6,Garbage Truck waiting at the traffic light,Garbage Truck,waiting at the traffic light
7,Garbage Truck parked behind the school building,Garbage Truck,parked behind the school building
8,Garbage Truck on a narrow alley with workers nearby,Garbage Truck,on a narrow alley with workers nearby
9,Garbage Truck stopping at the park entrance,Garbage Truck,stopping at the park entrance
10,Garbage Truck driving through a rainy street,Garbage Truck,driving through a rainy street
11,Garbage Truck parked near a construction site,Garbage Truck,parked near a construction site
12,Garbage Truck collecting trash on a snowy road,Garbage Truck,collecting trash on a snowy road
13,Garbage Truck beside a warehouse early in the morning,Garbage Truck,beside a warehouse early in the morning
14,Garbage Truck driving past an office block,Garbage Truck,driving past an office block
15,Garbage Truck standing still outside a restaurant,Garbage Truck,standing still outside a restaurant
16,Garbage Truck parked under a streetlight at night,Garbage Truck,parked under a streetlight at night
17,Garbage Truck collecting recycling bins on Monday,Garbage Truck,collecting recycling bins on Monday
18,Garbage Truck driving along the riverside road,Garbage Truck,driving along the riverside road
19,Garbage Truck standing in front of the fire station,Garbage Truck,standing in front of the fire station
20,Garbage Truck parked near the city stadium,Garbage Truck,parked near the city stadium
